contaminante,fecha,estacion,observado,predicho_idw,residuo,error_abs
PM2.5,1970-01-01 00:00:00.000000001,Bolivia,17.50272988505747,18.22468443197756,0.7219545469200916,0.7219545469200916
PM2.5,1970-01-01 00:00:00.000000001,Bolivia,18.22468443197756,17.50272988505747,-0.7219545469200916,0.7219545469200916
PM2.5,1970-01-01 00:00:00.000000001,Bolivia,17.024229074889867,17.50272988505747,0.4785008101676027,0.4785008101676027
PM2.5,1970-01-01 00:00:00.000000001,Bolivia,21.32274881516588,17.50272988505747,-3.820018930108411,3.820018930108411
PM2.5,1970-01-01 00:00:00.000000001,Carvajal - Sevillana,29.81159420289855,34.604693140794225,4.7930989378956745,4.7930989378956745
PM2.5,1970-01-01 00:00:00.000000001,Carvajal - Sevillana,34.604693140794225,29.81159420289855,-4.7930989378956745,4.7930989378956745
PM2.5,1970-01-01 00:00:00.000000001,Carvajal - Sevillana,37.43881856540085,29.81159420289855,-7.6272243625023,7.6272243625023
PM2.5,1970-01-01 00:00:00.000000001,Centro de Alto Rendimiento,13.672937771345875,13.493515850144092,-0.1794219212017829,0.1794219212017829
PM2.5,1970-01-01 00:00:00.000000001,Centro de Alto Rendimiento,13.493515850144092,13.672937771345875,0.1794219212017829,0.1794219212017829
PM2.5,1970-01-01 00:00:00.000000001,Centro de Alto Rendimiento,16.950773558368496,13.672937771345875,-3.277835787022621,3.277835787022621
PM2.5,1970-01-01 00:00:00.000000001,Centro de Alto Rendimiento,16.94943820224719,13.672937771345875,-3.276500430901315,3.276500430901315
PM2.5,1970-01-01 00:00:00.000000001,Centro de Alto Rendimiento,17.83051724137931,13.672937771345875,-4.157579470033436,4.157579470033436
PM2.5,1970-01-01 00:00:00.000000001,Ciudad Bolivar,20.056276445698167,19.27465889288382,-0.7816175528143461,0.7816175528143461
PM2.5,1970-01-01 00:00:00.000000001,Colina,9.044444444444444,12.805915492957748,3.761471048513304,3.761471048513304
PM2.5,1970-01-01 00:00:00.000000001,Colina,12.805915492957748,9.044444444444444,-3.761471048513304,3.761471048513304
PM2.5,1970-01-01 00:00:00.000000001,Colina,12.179512893982809,9.044444444444444,-3.1350684495383643,3.1350684495383643
PM2.5,1970-01-01 00:00:00.000000001,Colina,16.195762711864408,9.044444444444444,-7.151318267419963,7.151318267419963
PM2.5,1970-01-01 00:00:00.000000001,Fontibon,19.646153846153847,18.7778603268945,-0.8682935192593462,0.8682935192593462
PM2.5,1970-01-01 00:00:00.000000001,Fontibon,18.7778603268945,19.646153846153847,0.8682935192593462,0.8682935192593462
PM2.5,1970-01-01 00:00:00.000000001,Fontibon,23.02039381153305,19.646153846153847,-3.3742399653792035,3.3742399653792035
PM2.5,1970-01-01 00:00:00.000000001,Fontibon,17.972612359550563,19.646153846153847,1.673541486603284,1.673541486603284
PM2.5,1970-01-01 00:00:00.000000001,Fontibon,25.591713483146066,19.646153846153847,-5.945559636992218,5.945559636992218
PM2.5,1970-01-01 00:00:00.000000001,Guaymaral,14.772133526850508,13.29634831460674,-1.4757852122437676,1.4757852122437676
PM2.5,1970-01-01 00:00:00.000000001,Guaymaral,13.29634831460674,14.772133526850508,1.4757852122437676,1.4757852122437676
PM2.5,1970-01-01 00:00:00.000000001,Guaymaral,16.41912798874824,14.772133526850508,-1.646994461897732,1.646994461897732
PM2.5,1970-01-01 00:00:00.000000001,Guaymaral,16.075736325385694,14.772133526850508,-1.3036027985351861,1.3036027985351861
PM2.5,1970-01-01 00:00:00.000000001,Guaymaral,19.03253182461104,14.772133526850508,-4.260398297760533,4.260398297760533
