Año,Mes,Estacion,Localidad,Fuente,Temp_media,HR,Vel_viento,Presión,Precipitación,Precipitación_media,lat,lon,dias_esperados
2020,1,Bolivia,Engativá,NASA_POWER,18.848064516129032,79.68354838709678,1.5032258064516129,,23.509999999999998,0.7583870967741935,4.736978,-74.555,31
2020,1,Carvajal - Sevillana,Tunjuelito,NASA_POWER,18.848064516129032,79.68354838709678,1.5032258064516129,,23.509999999999998,0.7583870967741935,4.589722,-74.2175,31
2020,1,Centro de Alto Rendimiento,Barrios Unidos,NASA_POWER,18.848064516129032,79.68354838709678,1.5032258064516129,,23.509999999999998,0.7583870967741935,4.658556,-74.088556,31
2020,1,Ciudad Bolivar,Ciudad Bolívar,NASA_POWER,18.848064516129032,79.68354838709678,1.5032258064516129,,23.509999999999998,0.7583870967741935,4.577778,-74.165167,31
2020,1,Colina,Suba,NASA_POWER,18.848064516129032,79.68354838709678,1.5032258064516129,,23.509999999999998,0.7583870967741935,4.737194444444445,-74.06947222222222,31
2020,1,Fontibon,Fontibón,NASA_POWER,18.848064516129032,79.68354838709678,1.5032258064516129,,23.509999999999998,0.7583870967741935,4.679722,-74.1425,31
2020,1,Guaymaral,Suba,NASA_POWER,13.868709677419355,86.58129032258064,1.1025806451612903,,29.07,0.937741935483871,4.7837556,-74.044183,31
2020,1,Kennedy,Kennedy,NASA_POWER,18.848064516129032,79.68354838709678,1.5032258064516129,,23.509999999999998,0.7583870967741935,4.621389,-74.140833,31
2020,1,Las Ferias,Engativá,NASA_POWER,18.848064516129032,79.68354838709678,1.5032258064516129,,23.509999999999998,0.7583870967741935,4.690722,-74.0986,31
2020,1,MinAmbiente,Teusaquillo,NASA_POWER,18.848064516129032,79.68354838709678,1.5032258064516129,,23.509999999999998,0.7583870967741935,4.629306,-74.186944,31
2020,1,Movil Fontibon,Fontibón,NASA_POWER,23.338387096774195,74.0958064516129,1.2509677419354839,,42.64,1.375483870967742,4.640764,-74.870833,31
2020,1,Puente Aranda,Puente Aranda,NASA_POWER,18.848064516129032,79.68354838709678,1.5032258064516129,,23.509999999999998,0.7583870967741935,4.592444,-74.106667,31
