Row,Column,Year,Population,Race,Ethnicity,Gender,AgeRange
3,5,2026,7,ALL,ALL,FEMALE,45-64
3,5,2026,6,ALL,ALL,MALE,45-64
3,5,2026,3,ALL,ALL,FEMALE,5-14
3,5,2026,4,ALL,ALL,MALE,5-14
3,5,2026,4,ALL,ALL,FEMALE,65+
3,5,2026,2,ALL,ALL,MALE,65+
4,2,2026,229,ALL,ALL,FEMALE,0-4
4,2,2026,241,ALL,ALL,MALE,0-4
4,2,2026,2187,ALL,ALL,FEMALE,15-44
4,2,2026,2204,ALL,ALL,MALE,15-44
4,2,2026,1077,ALL,ALL,FEMALE,45-64
4,2,2026,911,ALL,ALL,MALE,45-64
4,2,2026,520,ALL,ALL,FEMALE,5-14
4,2,2026,547,ALL,ALL,MALE,5-14
4,2,2026,554,ALL,ALL,FEMALE,65+
4,2,2026,385,ALL,ALL,MALE,65+
4,3,2026,2231,ALL,ALL,FEMALE,0-4
4,3,2026,2351,ALL,ALL,MALE,0-4
4,3,2026,21313,ALL,ALL,FEMALE,15-44
4,3,2026,21475,ALL,ALL,MALE,15-44
4,3,2026,10491,ALL,ALL,FEMALE,45-64
4,3,2026,8876,ALL,ALL,MALE,45-64
4,3,2026,5064,ALL,ALL,FEMALE,5-14
4,3,2026,5333,ALL,ALL,MALE,5-14
4,3,2026,5402,ALL,ALL,FEMALE,65+
4,3,2026,3757,ALL,ALL,MALE,65+
4,4,2026,2271,ALL,ALL,FEMALE,0-4
4,4,2026,2393,ALL,ALL,MALE,0-4
4,4,2026,21700,ALL,ALL,FEMALE,15-44
4,4,2026,21865,ALL,ALL,MALE,15-44
4,4,2026,10682,ALL,ALL,FEMALE,45-64
4,4,2026,9038,ALL,ALL,MALE,45-64
4,4,2026,5156,ALL,ALL,FEMALE,5-14
4,4,2026,5430,ALL,ALL,MALE,5-14
4,4,2026,5500,ALL,ALL,FEMALE,65+
4,4,2026,3825,ALL,ALL,MALE,65+
4,5,2026,1568,ALL,ALL,FEMALE,0-4
4,5,2026,1652,ALL,ALL,MALE,0-4
4,5,2026,14981,ALL,ALL,FEMALE,15-44
4,5,2026,15095,ALL,ALL,MALE,15-44
4,5,2026,7375,ALL,ALL,FEMALE,45-64
4,5,2026,6239,ALL,ALL,MALE,45-64
4,5,2026,3560,ALL,ALL,FEMALE,5-14
4,5,2026,3749,ALL,ALL,MALE,5-14
4,5,2026,3797,ALL,ALL,FEMALE,65+
4,5,2026,2641,ALL,ALL,MALE,65+
4,6,2026,1208,ALL,ALL,FEMALE,0-4
4,6,2026,1273,ALL,ALL,MALE,0-4
4,6,2026,11540,ALL,ALL,FEMALE,15-44
4,6,2026,11628,ALL,ALL,MALE,15-44
4,6,2026,5681,ALL,ALL,FEMALE,45-64
4,6,2026,4806,ALL,ALL,MALE,45-64
4,6,2026,2742,ALL,ALL,FEMALE,5-14
4,6,2026,2888,ALL,ALL,MALE,5-14
4,6,2026,2925,ALL,ALL,FEMALE,65+
4,6,2026,2034,ALL,ALL,MALE,65+
5,3,2026,1713,ALL,ALL,FEMALE,0-4
5,3,2026,1805,ALL,ALL,MALE,0-4
5,3,2026,16367,ALL,ALL,FEMALE,15-44
5,3,2026,16491,ALL,ALL,MALE,15-44
5,3,2026,8057,ALL,ALL,FEMALE,45-64
5,3,2026,6816,ALL,ALL,MALE,45-64
5,3,2026,3889,ALL,ALL,FEMALE,5-14
5,3,2026,4095,ALL,ALL,MALE,5-14
5,3,2026,4148,ALL,ALL,FEMALE,65+
5,3,2026,2885,ALL,ALL,MALE,65+
5,4,2026,2285,ALL,ALL,FEMALE,0-4
5,4,2026,2408,ALL,ALL,MALE,0-4
5,4,2026,21828,ALL,ALL,FEMALE,15-44
5,4,2026,21993,ALL,ALL,MALE,15-44
5,4,2026,10744,ALL,ALL,FEMALE,45-64
5,4,2026,9090,ALL,ALL,MALE,45-64
5,4,2026,5186,ALL,ALL,FEMALE,5-14
5,4,2026,5461,ALL,ALL,MALE,5-14
5,4,2026,5532,ALL,ALL,FEMALE,65+
5,4,2026,3848,ALL,ALL,MALE,65+
5,5,2026,2285,ALL,ALL,FEMALE,0-4
5,5,2026,2408,ALL,ALL,MALE,0-4
5,5,2026,21828,ALL,ALL,FEMALE,15-44
5,5,2026,21993,ALL,ALL,MALE,15-44
5,5,2026,10744,ALL,ALL,FEMALE,45-64
5,5,2026,9090,ALL,ALL,MALE,45-64
5,5,2026,5187,ALL,ALL,FEMALE,5-14
5,5,2026,5461,ALL,ALL,MALE,5-14
5,5,2026,5532,ALL,ALL,FEMALE,65+
5,5,2026,3848,ALL,ALL,MALE,65+
5,6,2026,560,ALL,ALL,FEMALE,0-4
5,6,2026,591,ALL,ALL,MALE,0-4
5,6,2026,5355,ALL,ALL,FEMALE,15-44
5,6,2026,5395,ALL,ALL,MALE,15-44
5,6,2026,2636,ALL,ALL,FEMALE,45-64
5,6,2026,2230,ALL,ALL,MALE,45-64
5,6,2026,1272,ALL,ALL,FEMALE,5-14
5,6,2026,1340,ALL,ALL,MALE,5-14
5,6,2026,1357,ALL,ALL,FEMALE,65+
5,6,2026,944,ALL,ALL,MALE,65+
6,3,2026,575,ALL,ALL,FEMALE,0-4
6,3,2026,606,ALL,ALL,MALE,0-4
6,3,2026,5491,ALL,ALL,FEMALE,15-44
6,3,2026,5532,ALL,ALL,MALE,15-44
6,3,2026,2703,ALL,ALL,FEMALE,45-64
6,3,2026,2287,ALL,ALL,MALE,45-64
6,3,2026,1305,ALL,ALL,FEMALE,5-14
6,3,2026,1374,ALL,ALL,MALE,5-14
6,3,2026,1392,ALL,ALL,FEMALE,65+
