cell_id,suma_pesos
0,0.9999999999988728
1,0.9999999999980314
125,0.9999999999998803
126,0.9999999999999712
127,1.0
128,0.9999999999999764
129,0.999999999998942
130,0.9999999999987175
131,0.9999999999985184
132,0.9999999999996325
133,0.9999999999988464
134,0.9999999999988957
135,0.9999999999979933
136,0.9999999999937237
166,0.9999999999627437
167,0.9999999999993737
168,1.0
169,0.9999999999999964
170,1.0
171,0.9999999999999998
172,1.0
173,1.0
174,0.9999999999999998
175,1.0000000000000002
176,0.9999999999999998
177,0.9999999999996785
178,0.9999999999981718
2,0.9999999999806124
208,0.9999999999999328
209,0.9999999999999688
210,0.9999999999993956
211,1.0
212,1.0000000000000004
213,1.0
214,1.0
215,1.0
216,1.0
217,1.0
218,0.999999999999996
219,0.9999999999998918
251,1.0
252,0.9999999999999337
253,0.9999999999999911
254,0.9999999999999998
255,0.9999999999999998
256,1.0
257,1.0
258,1.0
259,0.999999999999951
294,0.9999999999998929
295,0.9999999999999948
296,1.0000000000000002
297,1.0000000000000002
298,1.0
299,1.0000000000000002
300,0.9999999999991699
301,0.9999999999976855
302,0.9999999999980909
303,0.999999999996172
304,0.9999999999932427
337,0.9999999999999064
338,0.9999999999999348
339,1.0
340,1.0000000000000002
341,1.0
342,1.0
343,1.0000000000000002
344,1.0
345,0.9999999999996431
346,0.9999999999982482
347,0.9999999999829522
348,0.9999999999978866
349,0.9999999999977273
350,0.9999999999982118
351,0.9999999999979245
352,0.9999999999945233
353,0.9999999998744517
360,0.999999999996621
361,0.9999999999972907
379,0.999999999999679
380,1.0000000000000002
381,0.9999999999999998
382,0.9999999999999998
383,1.0
384,1.0
385,1.0000000000000004
386,1.0
387,0.999999999999966
388,0.999999999999496
389,1.0000000000000013
390,1.0000000000000002
391,1.0
392,1.0000000000000002
393,0.9999999999999919
394,0.9999999999999997
395,0.9999999999971484
396,0.9999999999925316
397,0.999999999989989
398,0.9999999999948749
400,0.9999999999934703
401,0.9999999999998366
402,0.999999999999156
403,1.0
41,0.9999999999997984
42,1.0
420,0.9999999999992982
421,0.9999999999999998
422,1.0
423,1.0
424,1.0
425,1.0000000000000002
426,1.0
427,1.0
428,0.9999999999999998
429,1.0
43,0.99999999999901
430,0.9999999999999958
431,0.9999999999999998
432,1.0000000000000002
433,1.0000000000000004
434,0.9999999999999982
435,0.9999999999999998
436,1.0000000000000002
437,0.9999999999998109
438,0.9999999999995534
439,0.9999999999997878
44,0.9999999999962772
440,0.9999999999990472
441,0.999999999999726
442,1.0000000000000155
443,0.9999999999999702
444,0.9999999999982028
445,0.9999999999984389
446,0.9999999999943991
461,0.9999999999998105
462,0.9999999999999929
463,0.9999999999999903
464,0.9999999999999956
465,1.0000000000000002
466,1.0
467,1.0
468,0.9999999999999529
469,0.9999999999999649
470,1.0000000000000002
471,1.0000000000000056
472,0.9999999999999971
473,1.0
474,1.0
475,1.0000000000000107
476,1.000000000000001
477,0.9999999999999934
478,0.9999999999999922
479,1.0000000000000067
480,1.0000000000000009
481,1.0000000000000018
482,0.9999999999999949
483,0.9999999999999906
484,1.000000000000014
485,0.9999999999999876
486,1.0000000000000122
487,0.9999999999992193
488,0.9999999999940304
503,1.0
504,1.0000000000000218
505,0.999999999999946
506,0.9999999999999921
507,0.9999999999999657
508,0.9999999999998286
509,1.0
513,0.9999999999999716
514,0.9999999999999818
515,0.9999999999999803
516,0.9999999999999727
517,0.9999999999999758
518,0.9999999999999869
519,1.0000000000000107
520,0.9999999999999897
521,1.0000000000000067
522,0.9999999999999907
523,0.9999999999999903
524,1.000000000000007
525,0.9999999999999922
526,1.000000000000003
527,0.999999999999996
528,1.0
529,0.9999999999994427
530,0.999999999998204
531,0.999999999995621
546,1.0000000000000002
547,0.9999999999995611
555,1.0
556,0.9999999999998334
559,0.9999999999994297
560,0.9999999999999944
561,0.9999999999999977
562,0.9999999999999845
563,1.0000000000000067
564,1.000000000000003
565,1.0000000000000095
566,0.9999999999999984
567,0.9999999999999879
568,0.9999999999999929
569,0.9999999999999994
570,0.9999999999999998
571,1.0
572,0.9999999999982943
573,0.9999999999971427
601,0.9999999999996776
602,0.999999999999902
603,1.0000000000000082
604,0.9999999999999998
605,1.0000000000000044
606,1.000000000000004
607,0.9999999999999938
608,0.9999999999999987
609,1.000000000000018
610,0.999999999999994
611,1.0
612,1.0000000000000038
613,1.0
614,0.9999999999986691
643,1.0000000000000002
644,0.9999999999999735
645,0.9999999999998983
646,1.0000000000000073
647,0.9999999999999987
648,0.9999999999999851
649,0.9999999999999634
650,1.0000000000000002
651,1.0000000000000002
652,1.0
653,0.9999999999999996
654,0.999999999999997
655,0.9999999999997904
686,0.9999999999998612
687,0.9999999999999455
688,0.9999999999999679
689,0.9999999999989697
690,0.9999999999998854
691,0.9999999999999072
692,0.9999999999999267
693,0.9999999999998734
694,0.9999999999998044
695,1.0000000000000102
696,0.9999999999995773
729,0.9999999999996932
730,0.9999999999986503
82,0.9999999999989013
83,0.9999999999998831
84,0.999999999999996
85,0.9999999999995062
86,0.9999999999989425
87,0.9999999999963861
91,0.9999999999903577
