Año,Mes,Estacion,NO2,O3,PM25,Cobertura_NO2,Cobertura_O3,Cobertura_PM25,valido_NO2,valido_O3,valido_PM25
2020,1,Carvajal - Sevillana,3.291089108910892,,29.81159420289855,0.9502688172043012,,0.9274193548387096,True,False,True
2020,1,Centro de Alto Rendimiento,13.822457627118643,17.690691114245418,13.672937771345875,0.9516129032258064,0.952956989247312,0.928763440860215,True,True,True
2020,1,Fontibon,16.69630681818182,15.080594900849858,19.646153846153847,0.946236559139785,0.9489247311827956,0.9435483870967742,True,True,True
2020,1,Guaymaral,11.346686303387331,13.813509544787076,14.772133526850508,0.9126344086021504,0.9153225806451613,0.9260752688172044,True,True,True
2020,1,Kennedy,17.867042253521127,21.17669491525424,23.64844192634561,0.9543010752688172,0.9516129032258064,0.9489247311827956,True,True,True
2020,1,Las Ferias,16.37294617563739,11.864830508474576,17.305021520803443,0.9489247311827956,0.9516129032258064,0.9368279569892471,True,True,True
2020,1,MinAmbiente,,9.76597510373444,13.396892655367232,,0.6478494623655914,0.9516129032258064,False,False,True
2020,1,Puente Aranda,16.92293447293447,10.027042253521126,14.912747875354109,0.9435483870967742,0.9543010752688172,0.9489247311827956,True,True,True
2020,1,San Cristobal,,13.524825174825176,11.995295902883155,,0.7688172043010753,0.885752688172043,False,True,True
2020,1,Suba,,14.741197183098592,16.58823529411765,,0.7634408602150538,0.9368279569892471,False,True,True
2020,1,Tunal,13.813456090651558,9.860294117647058,15.564174894217206,0.9489247311827956,0.3655913978494624,0.952956989247312,True,False,True
2020,1,Usaquen,,17.75249169435216,15.714893617021277,,0.8091397849462365,0.9475806451612904,False,True,True
2020,2,Carvajal - Sevillana,4.304216867469879,,39.31975867269985,0.9540229885057472,,0.9525862068965516,True,False,True
2020,2,Centro de Alto Rendimiento,17.65530726256983,18.91921921921922,19.610410094637224,0.771551724137931,0.956896551724138,0.9109195402298852,True,True,True
2020,2,Fontibon,22.02844175491679,16.965091463414634,27.05271903323263,0.9497126436781608,0.942528735632184,0.9511494252873564,True,True,True
2020,2,Guaymaral,14.391433021806852,15.26030303030303,20.49392097264438,0.9224137931034484,0.9482758620689656,0.9454022988505748,True,True,True
2020,2,Kennedy,22.743543543543545,20.39036144578313,28.85090361445783,0.956896551724138,0.9540229885057472,0.9540229885057472,True,True,True
2020,2,Las Ferias,22.198305084745765,12.445343511450382,19.098684210526315,0.932471264367816,0.9410919540229884,0.8735632183908046,True,True,True
2020,2,MinAmbiente,,20.80537634408602,17.134153846153847,,0.9353448275862069,0.9339080459770116,False,True,True
