Año,Mes,Estacion,NO2,O3,PM25,Cobertura_NO2,Cobertura_O3,Cobertura_PM25
2020,1,Carvajal - Sevillana,3.2910891089108913,,29.81159420289855,0.9502688172043011,,0.9274193548387096
2020,1,Centro de Alto Rendimiento,13.822457627118643,17.690691114245418,13.672937771345875,0.9516129032258065,0.9529569892473119,0.928763440860215
2020,1,Fontibon,16.69630681818182,15.080594900849858,19.646153846153847,0.946236559139785,0.9489247311827957,0.9435483870967742
2020,1,Guaymaral,11.346686303387333,13.813509544787077,14.772133526850508,0.9126344086021505,0.9153225806451613,0.9260752688172043
2020,1,Kennedy,17.867042253521127,21.176694915254238,23.64844192634561,0.9543010752688172,0.9516129032258065,0.9489247311827957
2020,1,Las Ferias,16.37294617563739,11.864830508474576,17.305021520803443,0.9489247311827957,0.9516129032258065,0.9368279569892473
2020,1,MinAmbiente,,9.765975103734439,13.396892655367232,,0.6478494623655914,0.9516129032258065
2020,1,Puente Aranda,16.92293447293447,10.027042253521126,14.912747875354107,0.9435483870967742,0.9543010752688172,0.9489247311827957
2020,1,San Cristobal,,13.524825174825175,11.995295902883155,,0.7688172043010753,0.885752688172043
2020,1,Suba,,14.741197183098592,16.58823529411765,,0.7634408602150538,0.9368279569892473
2020,1,Tunal,13.813456090651558,9.860294117647058,15.564174894217206,0.9489247311827957,0.3655913978494624,0.9529569892473119
2020,1,Usaquen,,17.75249169435216,15.714893617021277,,0.8091397849462365,0.9475806451612904
2020,2,Carvajal - Sevillana,4.304216867469879,,39.31975867269985,0.9540229885057471,,0.9525862068965517
2020,2,Centro de Alto Rendimiento,17.65530726256983,18.91921921921922,19.610410094637224,0.771551724137931,0.9568965517241379,0.9109195402298851
2020,2,Fontibon,22.02844175491679,16.965091463414634,27.05271903323263,0.9497126436781609,0.9425287356321839,0.9511494252873564
2020,2,Guaymaral,14.391433021806852,15.26030303030303,20.49392097264438,0.9224137931034483,0.9482758620689655,0.9454022988505747
2020,2,Kennedy,22.743543543543545,20.390361445783135,28.85090361445783,0.9568965517241379,0.9540229885057471,0.9540229885057471
2020,2,Las Ferias,22.198305084745765,12.445343511450382,19.098684210526315,0.9324712643678161,0.9410919540229885,0.8735632183908046
2020,2,MinAmbiente,,20.80537634408602,17.134153846153847,,0.9353448275862069,0.9339080459770115
2020,2,Puente Aranda,23.97155824508321,10.172382397572079,27.16132930513595,0.9497126436781609,0.9468390804597702,0.9511494252873564
2020,2,San Cristobal,,13.280150375939849,17.58078078078078,,0.9554597701149425,0.9568965517241379
2020,2,Suba,,16.308721804511276,22.71860816944024,,0.9554597701149425,0.9497126436781609
2020,2,Tunal,16.562178517397882,15.170481927710844,21.34182908545727,0.9497126436781609,0.9540229885057471,0.9583333333333334
2020,2,Usaquen,,16.833557046979866,22.500758725341427,,0.21408045977011494,0.9468390804597702
2020,3,Carvajal - Sevillana,2.8480959097320167,,43.73153409090909,0.9529569892473119,,0.946236559139785
2020,3,Centro de Alto Rendimiento,16.48187134502924,30.935177304964537,32.57886904761905,0.6895161290322581,0.9475806451612904,0.9032258064516129
2020,3,Fontibon,17.485714285714284,27.23048433048433,37.472482269503544,0.9502688172043011,0.9435483870967742,0.9475806451612904
2020,3,Guaymaral,11.891210374639769,26.14207317073171,29.78954802259887,0.9327956989247311,0.8817204301075269,0.9516129032258065
2020,3,Kennedy,18.68236953455571,29.263366336633663,38.65169971671388,0.9529569892473119,0.9502688172043011,0.9489247311827957
2020,3,Las Ferias,19.19559659090909,21.356435643564357,34.273371104815865,0.946236559139785,0.9502688172043011,0.9489247311827957
2020,3,MinAmbiente,,21.688210227272727,29.034045584045586,,0.946236559139785,0.9435483870967742
2020,3,Puente Aranda,17.987659574468083,16.402266288951843,37.357021276595745,0.9475806451612904,0.9489247311827957,0.9475806451612904
2020,3,San Cristobal,,19.14794908062235,28.54950354609929,,0.9502688172043011,0.9475806451612904
2020,3,Suba,,26.820281690140845,33.22065063649222,,0.9543010752688172,0.9502688172043011
2020,3,Tunal,15.577571428571428,20.310098176718093,31.9789029535865,0.9408602150537635,0.9583333333333334,0.9556451612903226
2020,3,Usaquen,,30.190430622009572,33.31040787623066,,0.5618279569892473,0.9556451612903226
2020,4,Carvajal - Sevillana,2.2534918276374443,,19.867559523809526,0.9347222222222222,,0.9333333333333333
2020,4,Centro de Alto Rendimiento,8.422238586156112,27.085255474452556,13.598102189781024,0.9430555555555555,0.9513888888888888,0.9513888888888888
2020,4,Fontibon,10.848613138686131,21.872873900293254,18.376392961876835,0.9513888888888888,0.9472222222222222,0.9472222222222222
2020,4,Guaymaral,9.341914191419141,18.862587412587413,14.48358208955224,0.8416666666666667,0.7944444444444444,0.9305555555555556
2020,4,Kennedy,15.013642960812772,21.879737609329446,18.430088495575223,0.9569444444444445,0.9527777777777777,0.9416666666666667
2020,4,Las Ferias,9.25550527903469,19.62796052631579,12.566243194192378,0.9208333333333333,0.8444444444444444,0.7652777777777777
2020,4,MinAmbiente,,19.193026706231453,12.78972099853157,,0.9361111111111111,0.9458333333333333
2020,4,Puente Aranda,10.513421828908555,12.904558823529412,19.137813884785817,0.9416666666666667,0.9444444444444444,0.9402777777777778
2020,4,San Cristobal,,20.322318840579708,12.564135702746364,,0.9583333333333334,0.8597222222222223
2020,4,Suba,,20.883406113537117,16.087481146304675,,0.9541666666666667,0.9208333333333333
2020,4,Tunal,9.80263543191801,16.74963715529753,12.734306569343065,0.9486111111111111,0.9569444444444445,0.9513888888888888
2020,4,Usaquen,,23.92107843137255,15.872913616398245,,0.85,0.9486111111111111
2020,5,Carvajal - Sevillana,3.812429378531073,,18.519718309859154,0.9516129032258065,,0.9543010752688172
2020,5,Centro de Alto Rendimiento,8.322881355932203,15.335502121640737,6.039820359281437,0.9516129032258065,0.9502688172043011,0.8978494623655914
2020,5,Fontibon,12.647265077138849,12.063892806770097,11.90482269503546,0.9583333333333334,0.9529569892473119,0.9475806451612904
2020,5,Guaymaral,7.855374592833876,11.828954802259886,6.808571428571429,0.8252688172043011,0.9516129032258065,0.9408602150537635
2020,5,Kennedy,17.10646976090014,11.449295774647887,12.915254237288135,0.9556451612903226,0.9543010752688172,0.9516129032258065
2020,5,Las Ferias,8.375925925925927,12.083521126760562,6.978453038674034,0.7258064516129032,0.9543010752688172,0.7298387096774194
2020,5,MinAmbiente,,12.266666666666667,6.799002849002848,,0.9475806451612904,0.9435483870967742
2020,5,Puente Aranda,11.830624092888245,6.567092198581561,12.532898550724639,0.9260752688172043,0.9475806451612904,0.9274193548387096
2020,5,San Cristobal,,13.59929873772791,6.137236084452975,,0.9583333333333334,0.7002688172043011
2020,5,Suba,,13.071711456859973,8.359065155807366,,0.9502688172043011,0.9489247311827957
2020,5,Tunal,11.299857752489332,10.535470085470084,7.730113636363637,0.9448924731182796,0.9435483870967742,0.946236559139785
2020,5,Usaquen,,12.311458333333333,8.09212730318258,,0.9032258064516129,0.8024193548387096
2020,6,Carvajal - Sevillana,4.284705882352941,,24.106995884773664,0.9444444444444444,,0.675
2020,6,Centro de Alto Rendimiento,8.904405286343613,12.14361233480176,7.477812995245642,0.9458333333333333,0.9458333333333333,0.8763888888888889
2020,6,Fontibon,13.158200290275762,10.131049562682215,14.04669603524229,0.9569444444444445,0.9527777777777777,0.9458333333333333
2020,6,Guaymaral,7.853323485967503,9.853362573099416,8.72768532526475,0.9402777777777778,0.95,0.9180555555555555
2020,6,Kennedy,16.472992700729925,9.723636363636363,15.013762811127378,0.9513888888888888,0.6111111111111112,0.9486111111111111
2020,6,Las Ferias,11.077352941176471,10.141554559043348,8.172455089820359,0.9444444444444444,0.9291666666666667,0.9277777777777778
2020,6,MinAmbiente,,11.118703976435937,8.803235294117647,,0.9430555555555555,0.9444444444444444
2020,6,Puente Aranda,11.729742765273311,5.829934210526315,15.35425219941349,0.8638888888888889,0.8444444444444444,0.9472222222222222
2020,6,San Cristobal,,10.476350364963505,6.981229235880399,,0.9513888888888888,0.8361111111111111
2020,6,Suba,,10.946793002915452,9.2012084592145,,0.9527777777777777,0.9194444444444444
2020,6,Tunal,11.350877192982455,9.794027303754266,10.127407407407407,0.95,0.8138888888888889,0.9375
2020,6,Usaquen,,11.055108359133127,9.904692082111437,,0.8972222222222223,0.9472222222222222
2020,7,Carvajal - Sevillana,3.0758474576271184,,22.566619915848527,0.9516129032258065,,0.9583333333333334
2020,7,Centro de Alto Rendimiento,9.933962264150944,12.1621387283237,5.93328530259366,0.8548387096774194,0.9301075268817204,0.9327956989247311
2020,7,Fontibon,13.93497191011236,11.559142857142856,13.46415770609319,0.956989247311828,0.9408602150537635,0.375
2020,7,Guaymaral,8.605120910384068,10.013031161473087,6.590651558073654,0.9448924731182796,0.9489247311827957,0.9489247311827957
2020,7,Kennedy,16.820956399437414,13.584117647058825,16.473541963015645,0.9556451612903226,0.9139784946236559,0.9448924731182796
2020,7,Las Ferias,11.143081312410843,10.596191819464034,6.20674318507891,0.9422043010752689,0.9529569892473119,0.9368279569892473
2020,7,MinAmbiente,,11.078285714285714,6.376757532281205,,0.9408602150537635,0.9368279569892473
2020,7,Puente Aranda,14.450175438596492,6.201555869872702,12.916642958748222,0.7661290322580645,0.9502688172043011,0.9448924731182796
2020,7,San Cristobal,,10.560623229461756,4.166372980910426,,0.9489247311827957,0.9153225806451613
2020,7,Suba,,11.40112676056338,7.67015625,,0.9543010752688172,0.8602150537634409
2020,7,Tunal,13.280209895052474,9.67050505050505,7.3469985358711565,0.896505376344086,0.6653225806451613,0.918010752688172
2020,7,Usaquen,,11.262605752961083,6.790070921985816,,0.7943548387096774,0.9475806451612904
2020,8,Carvajal - Sevillana,4.471549295774648,,25.56338028169014,0.9543010752688172,,0.9543010752688172
2020,8,Centro de Alto Rendimiento,10.403404255319149,15.898453608247424,8.267663817663816,0.9475806451612904,0.521505376344086,0.9435483870967742
2020,8,Fontibon,12.591845493562232,16.244921316165954,13.948433048433047,0.9395161290322581,0.9395161290322581,0.9435483870967742
2020,8,Guaymaral,8.577675840978593,11.961095505617976,8.77247191011236,0.8790322580645161,0.956989247311828,0.956989247311828
2020,8,Kennedy,16.175386779184247,16.47918424753868,16.47157001414427,0.9556451612903226,0.9556451612903226,0.9502688172043011
