cell_id,ROW,COL
0,1,1
1,2,1
2,3,1
41,1,2
42,2,2
43,3,2
44,4,2
82,1,3
83,2,3
84,3,3
85,4,3
86,5,3
87,6,3
91,10,3
125,3,4
126,4,4
127,5,4
128,6,4
129,7,4
130,8,4
131,9,4
132,10,4
133,11,4
134,12,4
135,13,4
136,14,4
166,3,5
167,4,5
168,5,5
169,6,5
170,7,5
171,8,5
172,9,5
173,10,5
174,11,5
175,12,5
176,13,5
177,14,5
178,15,5
208,4,6
209,5,6
210,6,6
211,7,6
212,8,6
213,9,6
214,10,6
215,11,6
216,12,6
217,13,6
218,14,6
219,15,6
251,6,7
252,7,7
253,8,7
254,9,7
255,10,7
256,11,7
257,12,7
258,13,7
259,14,7
294,8,8
295,9,8
296,10,8
297,11,8
298,12,8
299,13,8
300,14,8
301,15,8
302,16,8
303,17,8
304,18,8
337,10,9
338,11,9
339,12,9
340,13,9
341,14,9
342,15,9
343,16,9
344,17,9
345,18,9
346,19,9
347,20,9
348,21,9
349,22,9
350,23,9
351,24,9
352,25,9
353,26,9
360,33,9
361,34,9
379,11,10
380,12,10
381,13,10
382,14,10
383,15,10
384,16,10
385,17,10
386,18,10
387,19,10
388,20,10
389,21,10
390,22,10
391,23,10
392,24,10
393,25,10
394,26,10
395,27,10
396,28,10
397,29,10
398,30,10
400,32,10
401,33,10
402,34,10
403,35,10
420,11,11
421,12,11
422,13,11
423,14,11
424,15,11
425,16,11
426,17,11
427,18,11
428,19,11
429,20,11
430,21,11
431,22,11
432,23,11
433,24,11
434,25,11
435,26,11
436,27,11
437,28,11
438,29,11
439,30,11
440,31,11
441,32,11
442,33,11
443,34,11
444,35,11
445,36,11
446,37,11
461,11,12
462,12,12
463,13,12
464,14,12
465,15,12
466,16,12
467,17,12
468,18,12
469,19,12
470,20,12
471,21,12
472,22,12
473,23,12
474,24,12
475,25,12
476,26,12
477,27,12
478,28,12
479,29,12
480,30,12
481,31,12
482,32,12
483,33,12
484,34,12
485,35,12
486,36,12
487,37,12
488,38,12
503,12,13
504,13,13
505,14,13
506,15,13
507,16,13
508,17,13
509,18,13
513,22,13
514,23,13
515,24,13
516,25,13
517,26,13
518,27,13
519,28,13
520,29,13
521,30,13
522,31,13
523,32,13
524,33,13
525,34,13
526,35,13
527,36,13
528,37,13
529,38,13
530,39,13
531,40,13
546,14,14
547,15,14
555,23,14
556,24,14
559,27,14
560,28,14
561,29,14
562,30,14
563,31,14
564,32,14
565,33,14
566,34,14
567,35,14
568,36,14
569,37,14
570,38,14
571,39,14
572,40,14
573,41,14
601,28,15
602,29,15
603,30,15
604,31,15
605,32,15
606,33,15
607,34,15
608,35,15
609,36,15
610,37,15
611,38,15
612,39,15
613,40,15
614,41,15
643,29,16
644,30,16
645,31,16
646,32,16
647,33,16
648,34,16
649,35,16
650,36,16
651,37,16
652,38,16
653,39,16
654,40,16
655,41,16
686,31,17
687,32,17
688,33,17
689,34,17
690,35,17
691,36,17
692,37,17
693,38,17
694,39,17
695,40,17
696,41,17
729,33,18
730,34,18
