i,j
128,127
128,129
128,154
128,155
128,156
129,104
129,105
129,106
129,128
129,130
129,155
129,156
129,157
130,105
130,106
130,107
130,129
130,131
130,156
130,157
130,158
131,130
131,132
131,106
131,107
131,157
131,158
131,159
132,160
132,131
132,158
132,133
132,108
132,109
132,159
133,160
133,161
133,132
133,134
133,108
133,109
133,159
134,160
134,161
134,162
134,133
134,135
135,110
135,161
135,162
135,163
135,111
135,134
135,136
136,162
136,163
136,164
136,110
136,111
136,112
136,135
136,137
137,111
137,112
137,163
137,164
137,165
137,136
137,138
138,164
138,165
138,166
138,137
138,139
139,165
139,166
139,167
139,138
139,140
140,139
140,166
140,167
141,114
141,115
141,142
142,114
142,115
142,116
142,169
142,170
142,141
142,143
143,144
143,169
143,115
143,116
143,117
143,170
143,142
144,145
144,116
144,117
144,118
144,171
144,172
144,143
145,117
145,118
145,119
145,144
145,146
145,171
145,172
145,173
146,118
146,119
146,120
146,145
146,147
146,172
146,173
146,174
147,119
147,120
147,121
147,146
147,148
147,173
147,174
147,175
148,175
148,147
148,149
148,120
148,121
148,122
148,174
149,148
149,150
149,121
149,122
149,123
150,149
150,151
150,122
150,123
150,124
151,150
151,152
151,123
151,124
151,125
152,126
152,176
152,177
152,151
152,153
152,124
152,125
153,176
153,177
153,178
153,125
153,126
153,127
153,152
153,154
154,177
154,178
154,179
154,126
154,127
154,128
154,153
154,155
155,178
155,179
155,180
155,127
155,128
155,129
155,154
155,156
156,179
156,180
156,181
156,128
156,129
156,130
156,155
156,157
157,180
157,181
157,182
157,129
157,130
157,131
157,156
157,158
158,181
158,182
158,183
158,130
158,131
158,132
158,157
158,159
159,160
159,182
159,183
159,184
159,131
159,132
159,133
159,158
160,161
160,183
160,184
160,185
160,132
160,133
160,134
160,159
161,160
161,162
161,184
161,185
161,186
161,133
161,134
161,135
162,161
162,163
162,185
162,186
162,187
162,134
162,135
162,136
163,162
163,164
163,186
163,187
163,188
163,135
163,136
163,137
164,163
164,165
164,187
164,188
164,189
164,136
164,137
164,138
165,164
165,166
165,188
165,189
165,190
165,137
165,138
165,139
166,165
166,167
166,189
166,190
166,191
166,138
166,139
166,140
167,191
167,192
167,166
167,168
167,139
167,140
167,190
168,191
168,192
168,167
169,170
169,142
169,143
170,143
170,142
170,169
171,144
171,145
171,195
171,196
171,172
172,144
172,145
172,195
172,196
172,146
172,171
172,173
173,145
173,146
173,147
173,172
173,174
174,146
174,147
174,148
174,173
174,175
175,147
175,148
175,174
176,152
176,153
176,177
177,176
177,178
177,152
177,153
177,154
177,197
177,198
178,177
178,179
178,155
178,153
178,154
178,197
178,198
179,178
179,180
179,154
179,155
179,156
180,179
180,181
180,155
180,156
180,157
181,200
181,180
181,182
181,156
181,157
181,158
181,199
182,181
182,183
182,199
182,200
182,201
182,157
182,158
182,159
183,160
183,182
183,184
183,200
183,201
183,202
183,158
183,159
184,160
184,161
184,183
184,185
184,201
184,202
184,203
184,159
185,160
185,161
185,162
185,184
185,186
185,202
185,203
185,204
186,161
186,162
186,163
186,185
186,187
186,203
186,204
186,205
187,162
187,163
187,164
187,186
187,188
187,204
187,205
187,206
188,163
188,164
188,165
188,187
188,189
188,205
188,206
188,207
189,164
189,165
189,166
189,188
189,190
189,206
189,207
189,208
190,165
190,166
190,167
190,189
190,191
190,207
190,208
190,209
191,166
191,167
191,168
191,190
191,192
191,208
191,209
191,210
192,191
192,193
192,167
192,168
192,209
192,210
192,211
193,192
193,194
193,210
193,211
193,212
194,193
194,211
194,212
195,171
195,172
195,196
196,171
196,195
196,172
197,177
197,178
197,198
198,197
198,177
198,178
199,200
199,181
199,182
200,201
200,181
200,182
200,183
200,214
200,215
200,199
201,182
201,183
201,184
201,200
201,202
201,214
201,215
201,216
202,183
202,184
202,185
202,201
202,203
202,215
202,216
202,217
203,184
203,185
203,186
203,202
203,204
203,216
203,217
203,218
204,185
204,186
204,187
204,203
204,205
204,217
204,218
204,219
205,186
205,187
205,188
205,204
205,206
205,218
205,219
205,220
206,221
206,187
206,188
206,189
206,205
206,207
206,219
206,220
207,221
207,222
207,188
207,189
207,190
207,206
207,208
207,220
208,221
208,222
208,223
208,189
208,190
208,191
208,207
208,209
209,222
209,223
209,224
209,190
209,191
209,192
209,208
209,210
210,223
210,224
210,225
210,191
210,192
210,193
210,209
210,211
211,224
211,225
211,226
211,192
211,193
211,194
211,210
211,212
212,193
212,194
212,225
212,226
212,227
212,211
212,213
213,212
213,226
213,227
214,200
214,201
214,215
215,200
215,201
215,202
215,228
215,229
215,214
215,216
216,228
216,229
216,230
216,201
216,202
216,203
216,215
216,217
217,229
217,230
217,231
217,202
217,203
217,204
217,216
217,218
218,230
218,231
218,232
218,203
218,204
218,205
218,217
218,219
219,231
219,232
219,233
219,204
219,205
219,206
219,218
219,220
220,221
220,232
220,233
220,234
220,205
220,206
220,207
220,219
221,222
221,233
221,234
221,235
221,206
221,207
221,208
221,220
222,221
222,223
222,234
222,235
222,236
222,207
222,208
222,209
223,222
223,224
223,235
223,236
223,237
223,208
223,209
223,210
224,223
224,225
224,236
224,237
224,238
224,209
224,210
224,211
225,224
225,226
225,237
225,238
225,239
225,210
225,211
225,212
226,225
226,227
226,238
226,239
226,240
226,211
226,212
226,213
227,226
227,212
227,213
227,239
227,240
228,215
228,216
228,229
229,228
229,230
229,215
229,216
229,217
230,229
230,231
230,216
230,217
230,218
230,241
230,242
231,230
231,232
231,241
231,242
231,243
231,217
231,218
231,219
232,231
232,233
232,242
232,243
232,244
232,218
232,219
232,220
233,221
233,243
233,244
233,232
233,234
233,219
233,220
234,221
234,222
234,245
234,246
234,233
234,235
234,220
235,221
235,222
235,223
235,234
235,236
235,245
235,246
235,247
236,222
236,223
236,224
236,235
236,237
236,246
236,247
236,248
237,223
237,224
237,225
237,236
237,238
237,247
237,248
237,249
238,224
238,225
238,226
238,237
238,239
238,248
238,249
238,250
239,225
239,226
239,227
239,238
239,240
239,249
239,250
239,251
240,226
240,227
240,250
240,251
240,239
241,230
241,231
241,242
242,243
242,230
242,231
242,232
242,241
243,244
243,231
243,232
243,233
243,252
243,253
243,242
244,243
244,232
244,233
244,252
244,253
245,234
245,235
245,246
246,245
246,247
246,234
246,235
246,236
247,246
247,248
247,235
247,236
247,237
248,247
248,249
248,236
248,237
248,238
249,248
249,250
249,237
249,238
249,239
250,249
250,251
250,238
250,239
250,240
251,250
251,239
251,240
252,243
252,244
252,253
253,243
253,244
253,252
