variable,n,n_null,n_inf,mean,std,min,q01,q05,q25,median,q75,q95,q99,max
Vel_viento_idw,15240,0,0,1.1167948049337868,0.22199084867032476,0.5046784389003331,0.8076666666666665,0.8692369231364332,0.9443333333333334,1.0612903225806452,1.2158064516129037,1.5912903225806454,1.7177419354838708,1.7177419354838714
diff_O3_grid,15240,0,0,-6.3815969131997186e-18,3.219685139957722,-47.7790617631763,-10.982030822428861,-2.0318135903526717,-0.096547435631721,-0.00017259998913485,0.04348004724944182,2.07523766860639,11.24887749267571,40.73198026597122
grad_O3_grid,15240,0,0,7.861081492103099e-05,0.0001479579727091495,1.1248930708532331e-08,4.822031809786646e-07,1.3420957901858767e-06,4.181915784118253e-06,1.4592750572247182e-05,8.231242774834807e-05,0.00037240289591163424,0.0007244166937124893,0.0016608652014765
adv_proxy_O3_grid,15240,0,0,8.64195833231782e-05,0.00016199152060653968,1.2805637571100193e-08,5.156864622299572e-07,1.4784148647122607e-06,4.588621921303093e-06,1.589581467449908e-05,9.086406935556552e-05,0.00042168327666110435,0.0007844492221473761,0.0018550081983488
