year,month,n_total,n_flag_iqr15,n_flag_iqr30,mean_value,std_value,variable,pct_flag_iqr15,pct_flag_iqr30
2021,1,254,48,38,2.5133001541711222e-18,1.9101871760290188,diff_NO2_grid,18.89763779527559,14.960629921259843
2021,2,254,66,55,6.556435184794231e-19,2.600097546143629,diff_NO2_grid,25.984251968503937,21.653543307086615
2021,3,254,52,38,5.969087866156415e-18,2.449038634403523,diff_NO2_grid,20.47244094488189,14.960629921259843
2021,4,254,89,78,-2.5788645060190644e-17,2.927154264758781,diff_NO2_grid,35.039370078740156,30.708661417322833
2021,5,254,76,49,-1.4424157406547308e-17,2.5309822045818895,diff_NO2_grid,29.921259842519685,19.291338582677167
2021,6,254,87,75,3.507692823864914e-17,3.620359724976318,diff_NO2_grid,34.25196850393701,29.52755905511811
2021,7,254,95,84,1.7483827159451284e-18,4.3842609196374625,diff_NO2_grid,37.40157480314961,33.07086614173228
2021,8,254,132,122,-2.7974123455122054e-17,5.718717151532332,diff_NO2_grid,51.968503937007874,48.031496062992126
2021,9,254,133,121,-3.496765431890257e-18,5.000076136588614,diff_NO2_grid,52.36220472440945,47.63779527559055
2021,10,254,100,86,-6.556435184794231e-19,4.735492621093912,diff_NO2_grid,39.37007874015748,33.85826771653543
2021,11,254,88,73,3.375198196172197e-17,3.52405257447552,diff_NO2_grid,34.645669291338585,28.74015748031496
2021,12,254,86,79,2.502372762196465e-17,3.3875917487210265,diff_NO2_grid,33.85826771653543,31.10236220472441
2022,1,254,89,79,-1.016247453643106e-17,3.634262781403447,diff_NO2_grid,35.039370078740156,31.10236220472441
2022,2,254,86,68,8.250180940866075e-18,3.229149271113502,diff_NO2_grid,33.85826771653543,26.771653543307085
2022,3,254,92,81,5.086700964202858e-17,4.6008307689281285,diff_NO2_grid,36.22047244094488,31.88976377952756
2022,4,254,98,81,7.26671566314694e-18,4.738789357740611,diff_NO2_grid,38.58267716535433,31.88976377952756
2022,5,254,97,82,1.2675774690602182e-17,4.471705650179798,diff_NO2_grid,38.188976377952756,32.28346456692913
2022,6,254,124,94,1.3549966048574746e-17,3.728684545299161,diff_NO2_grid,48.818897637795274,37.00787401574803
2022,7,254,121,100,6.556435184794231e-19,3.5990590634029767,diff_NO2_grid,47.63779527559055,39.37007874015748
2022,8,254,126,106,1.4424157406547308e-17,4.489401737933663,diff_NO2_grid,49.60629921259842,41.732283464566926
2022,9,254,92,77,-1.3877787807814457e-17,5.01327396206197,diff_NO2_grid,36.22047244094488,30.31496062992126
2022,10,254,103,89,-1.4314883486800738e-17,5.433877465263098,diff_NO2_grid,40.55118110236221,35.039370078740156
2022,11,254,92,80,4.370956789862821e-19,5.6265558899405175,diff_NO2_grid,36.22047244094488,31.496062992125985
2022,12,254,80,73,-1.0053200616684489e-17,6.098978132051904,diff_NO2_grid,31.496062992125985,28.74015748031496
2023,1,254,97,79,6.993530863780514e-18,5.725066665508389,diff_NO2_grid,38.188976377952756,31.10236220472441
2023,2,254,102,77,-2.7974123455122054e-17,6.450694989642339,diff_NO2_grid,40.15748031496063,30.31496062992126
2023,3,254,104,89,1.5953992282999296e-17,5.931829608077883,diff_NO2_grid,40.94488188976378,35.039370078740156
2023,4,254,101,85,2.098059259134154e-17,5.278796172505001,diff_NO2_grid,39.76377952755905,33.46456692913386
2023,5,254,96,81,2.7974123455122054e-17,5.000732850633634,diff_NO2_grid,37.79527559055118,31.88976377952756
2023,6,254,93,80,3.496765431890257e-17,4.769665651075866,diff_NO2_grid,36.61417322834646,31.496062992125985
2023,7,254,93,77,1.7702374998944425e-17,4.350671206122061,diff_NO2_grid,36.61417322834646,30.31496062992126
2023,8,254,93,79,-1.7046731480465003e-17,4.260688944981485,diff_NO2_grid,36.61417322834646,31.10236220472441
2023,9,254,102,95,6.993530863780514e-18,6.321297834953372,diff_NO2_grid,40.15748031496063,37.40157480314961
2023,10,254,103,88,-2.7755575615628914e-17,5.49603724057403,diff_NO2_grid,40.55118110236221,34.645669291338585
2023,11,254,123,85,2.294752314677981e-17,4.305674313957811,diff_NO2_grid,48.425196850393704,33.46456692913386
2023,12,254,115,100,-6.5564351847942314e-18,3.9271263058300634,diff_NO2_grid,45.275590551181104,39.37007874015748
2024,1,254,100,78,-4.0212802466737956e-17,4.581865115668741,diff_NO2_grid,39.37007874015748,30.708661417322833
2024,2,254,96,77,-3.496765431890257e-17,4.075007631876646,diff_NO2_grid,37.79527559055118,30.31496062992126
2024,3,254,71,56,8.960461419218783e-18,4.371105641637852,diff_NO2_grid,27.95275590551181,22.04724409448819
2024,4,254,99,84,4.196118518268308e-17,5.13268209002454,diff_NO2_grid,38.976377952755904,33.07086614173228
2024,5,254,102,88,-8.30481790073936e-18,5.6249174315394495,diff_NO2_grid,40.15748031496063,34.645669291338585
2024,6,254,129,111,2.316607098627295e-17,4.520694490560554,diff_NO2_grid,50.78740157480315,43.7007874015748
2024,7,254,95,80,-1.5298348764519873e-18,4.706567951640837,diff_NO2_grid,37.40157480314961,31.496062992125985
2024,8,254,72,64,-3.474910647940943e-17,4.951804510113767,diff_NO2_grid,28.346456692913385,25.19685039370079
2024,9,254,84,59,-7.430626542766796e-18,3.6203348985366426,diff_NO2_grid,33.07086614173228,23.228346456692915
2024,10,254,89,53,9.834652777191347e-18,3.599286901249126,diff_NO2_grid,35.039370078740156,20.866141732283463
2024,11,254,94,84,-2.7646301695882343e-17,5.415951618328917,diff_NO2_grid,37.00787401574803,33.07086614173228
