cell_id,fecha,year,month,Vel_viento_idw,variable,q1,q3,iqr,lower_iqr15,upper_iqr15,lower_iqr30,upper_iqr30,flag_iqr15,flag_iqr30,abs_value,diff_O3_grid,grad_O3_grid,adv_proxy_O3_grid
486,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
464,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
523,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
304,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
126,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
169,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
176,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
2,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
517,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
519,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
507,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
467,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
445,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
472,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
403,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
485,2023-03-01,2023,3,,diff_O3_grid,-0.096547435631721,0.04348004724944182,0.14002748288116282,-0.3065886599534652,0.25352127157118604,-0.5166298842752094,0.46356249589293025,True,True,47.7790617631763,-47.7790617631763,,
483,2021-02-01,2021,2,,diff_O3_grid,-0.096547435631721,0.04348004724944182,0.14002748288116282,-0.3065886599534652,0.25352127157118604,-0.5166298842752094,0.46356249589293025,True,True,45.342969011917134,-45.342969011917134,,
483,2020-12-01,2020,12,,diff_O3_grid,-0.096547435631721,0.04348004724944182,0.14002748288116282,-0.3065886599534652,0.25352127157118604,-0.5166298842752094,0.46356249589293025,True,True,44.36694262890724,-44.36694262890724,,
523,2023-03-01,2023,3,,diff_O3_grid,-0.096547435631721,0.04348004724944182,0.14002748288116282,-0.3065886599534652,0.25352127157118604,-0.5166298842752094,0.46356249589293025,True,True,40.73198026597122,40.73198026597122,,
486,2023-03-01,2023,3,,diff_O3_grid,-0.096547435631721,0.04348004724944182,0.14002748288116282,-0.3065886599534652,0.25352127157118604,-0.5166298842752094,0.46356249589293025,True,True,40.70746840338444,-40.70746840338444,,
483,2020-09-01,2020,9,,diff_O3_grid,-0.096547435631721,0.04348004724944182,0.14002748288116282,-0.3065886599534652,0.25352127157118604,-0.5166298842752094,0.46356249589293025,True,True,40.1247334222527,-40.1247334222527,,
523,2021-01-01,2021,1,,diff_O3_grid,-0.096547435631721,0.04348004724944182,0.14002748288116282,-0.3065886599534652,0.25352127157118604,-0.5166298842752094,0.46356249589293025,True,True,40.0128630971284,40.0128630971284,,
