variable,n,n_null,n_inf,mean,std,min,q01,q05,q25,median,q75,q95,q99,max
Vel_viento_idw,15240,0,0,1.1167948049337868,0.22199084867032476,0.5046784389003331,0.8076666666666665,0.8692369231364332,0.9443333333333334,1.0612903225806452,1.2158064516129037,1.5912903225806454,1.7177419354838708,1.7177419354838714
diff_PM25_grid,15240,0,0,-7.80944279788824e-18,3.79005044662411,-51.77306917110607,-14.200853481127352,-2.6966479265886596,-0.29637085159828924,0.00029735154416325,0.0867968603663742,3.807189874453502,13.310875758620382,34.83250046209828
grad_PM25_grid,15240,0,0,0.00012167131035368776,0.0002204420194635054,4.92796744986616e-09,4.796772025119673e-07,1.1930293952056739e-06,6.969020190045898e-06,3.588864020042601e-05,0.00014044257675642502,0.0005128225018205598,0.0010924835485652225,0.0032055935381559
adv_proxy_PM25_grid,15240,0,0,0.00013560521496566852,0.00025212005683243296,4.4923987139747635e-09,4.898759178973817e-07,1.2669941081102216e-06,7.697671742172721e-06,3.872912669084216e-05,0.000153001054073975,0.000581999958335825,0.0012463417268076978,0.0041074338535571
