,Vel_viento_idw,diff_O3_grid,grad_O3_grid,adv_proxy_O3_grid
Vel_viento_idw,1.0,0.002779613794051396,-0.041791543869445905,0.05815671166566276
diff_O3_grid,0.002779613794051396,1.0,0.036013378462680434,0.03885097610087632
grad_O3_grid,-0.041791543869445905,0.036013378462680434,1.0,0.9787054223887549
adv_proxy_O3_grid,0.05815671166566276,0.03885097610087632,0.9787054223887549,1.0
