cell_id,area_m2,centroid_x,centroid_y
0,6721941.916764474,960189.386999089,906093.4087486452
1,3650667.129840515,961004.729404652,908663.8744176836
2,69358.57569283636,961371.5381549984,910412.361905349
41,5431188.883559169,963118.7499939849,906387.194844878
42,9000000.0,963146.6955728916,908837.5290631294
43,6551648.555047023,963481.4194792834,911616.2099773089
44,901876.6537584765,964239.2217863131,913832.4031991756
82,629180.2813683344,965243.6640851594,907040.5822621075
83,3932986.917683491,965494.9424802602,909188.3561572453
84,8798838.764648007,966117.9897877631,911867.5842375035
85,8788014.689176528,966180.291398455,914812.0357464992
86,6748422.156531447,966510.6576823444,917755.0630539849
87,2263951.61372007,967003.762181049,920140.9505114962
91,514833.1211376328,967440.3090581346,932808.2807481282
125,3619093.5033686534,968450.5492999387,912322.4701895908
126,8947610.787273582,969139.1651062955,914845.9493363053
127,9000000.0,969146.6955728916,917837.5290631294
128,8999123.620784402,969146.8406475218,920837.3848275674
129,7037599.833868123,969453.8721644904,923729.2102914127
130,4980069.755029099,969810.0808290885,926769.9158918847
131,4991738.048608855,969810.9169307776,929871.3975457522
132,8423147.693875479,969227.1080454614,932897.9842965486
133,7261629.150315286,969434.4606361651,935839.389791621
134,6688702.940365424,969475.535932518,938664.8508477191
135,2798594.6015444486,970171.4856501967,941747.7159442048
136,603043.0861423027,970451.9129375657,944040.080561664
166,5663.742967783524,970862.590034245,913311.6571784497
167,6177237.484526363,972050.1202383437,915226.7529919102
168,9000000.0,972146.6955728916,917837.5290631294
169,8916113.666019442,972133.2430444258,920838.9867363481
170,9000000.0,972146.6955728916,923837.5290631294
171,9000000.0,972146.6955728916,926837.5290631294
172,9000000.0,972146.6955728916,929837.5290631294
173,9000000.0,972146.6955728916,932837.5290631294
174,9000000.0,972146.6955728916,935837.5290631294
175,9000000.0,972146.6955728916,938837.5290631294
176,9000000.0,972146.6955728916,941837.5290631294
177,8573098.902181756,972208.2874739066,944780.8881158797
178,3297150.5098443823,972602.6522381513,947176.8095141524
208,4758380.292007297,974651.4150620303,915138.245224869
209,2207899.11938048,974084.4597708039,917554.7594940497
210,2806896.1992301643,974974.7503601522,921766.9648938323
211,9000000.0,975146.6955728916,923837.5290631294
212,9000000.0,975146.6955728916,926837.5290631294
213,9000000.0,975146.6955728916,929837.5290631294
214,9000000.0,975146.6955728916,932837.5290631294
215,9000000.0,975146.6955728916,935837.5290631294
216,9000000.0,975146.6955728916,938837.5290631294
217,9000000.0,975146.6955728916,941837.5290631294
218,7797174.708665223,975035.0549638359,944660.046113219
219,515796.9584380213,973983.8406024732,946679.0749256394
251,8225.42802582947,976694.2875431612,922299.1034879957
252,2913316.207510537,977229.1282516336,924211.6250872227
253,7856574.842087055,978024.782060018,926997.5162191872
254,9000000.0,978146.6955728917,929837.5290631294
255,9000000.0,978146.6955728917,932837.5290631294
256,9000000.0,978146.6955728917,935837.5290631294
257,9000000.0,978146.6955728917,938837.5290631294
258,9000000.0,978146.6955728917,941837.5290631294
259,4658371.677829343,977887.2623511539,944188.4455285477
294,1058247.1688800233,979916.763319202,927298.8915725824
295,5916926.797545924,980717.6998703099,930060.8384519881
296,8966947.372491378,981141.4878836597,932842.7473780748
297,9000000.0,981146.6955728917,935837.5290631294
298,9000000.0,981146.6955728917,938837.5290631294
299,9000000.0,981146.6955728917,941837.5290631294
300,6624821.001746908,981436.6162878358,944581.6181045346
301,3622244.590918272,982036.5666070788,947756.1272496964
302,3297709.8867642023,982092.6146901837,950768.2548409405
303,2543715.490899352,982205.4974594702,953918.3179782621
304,835252.6300007668,982170.8741614835,955770.4038755376
337,1260879.6889163163,983020.2275077712,933562.1240570521
338,7574888.630006699,983989.4916090663,936025.0581774353
339,9000000.0,984146.6955728917,938837.5290631294
340,9000000.0,984146.6955728917,941837.5290631294
341,9000000.0,984146.6955728917,944837.5290631294
342,9000000.0,984146.6955728917,947837.5290631294
343,9000000.0,984146.6955728917,950837.5290631294
344,9000000.0,984146.6955728917,953837.5290631294
345,8788730.956062673,984179.6959230655,956810.570012331
346,3455699.8291481924,984854.6985273695,959327.5321469824
347,217317.7500943904,985410.2882270757,963347.2393281169
348,3292761.6456793994,985078.617262541,965739.0067162391
349,3057421.049972386,985128.1249520892,968949.1835182443
350,4208561.833870431,984941.4170464497,971897.9401664737
351,3256076.4612067137,985034.8048072244,974546.8414079356
352,1203942.1501426576,985407.821562346,977584.0023359434
