cell_id,fecha,year,month,Vel_viento_idw,variable,q1,q3,iqr,lower_iqr15,upper_iqr15,lower_iqr30,upper_iqr30,flag_iqr15,flag_iqr30,abs_value,diff_NO2_grid,grad_NO2_grid,adv_proxy_NO2_grid
486,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
464,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
523,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
304,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
126,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
169,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
176,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
2,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
517,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
519,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
507,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
467,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
445,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
472,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
403,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
523,2022-04-01,2022,4,,diff_NO2_grid,-0.17107773308360438,0.03236371765638772,0.2034414507399921,-0.4762399091935925,0.3375258937663759,-0.7814020853035807,0.642688069876364,True,True,46.50112095049639,-46.50112095049639,,
523,2024-11-01,2024,11,,diff_NO2_grid,-0.17107773308360438,0.03236371765638772,0.2034414507399921,-0.4762399091935925,0.3375258937663759,-0.7814020853035807,0.642688069876364,True,True,45.94200624744863,-45.94200624744863,,
483,2023-09-01,2023,9,,diff_NO2_grid,-0.17107773308360438,0.03236371765638772,0.2034414507399921,-0.4762399091935925,0.3375258937663759,-0.7814020853035807,0.642688069876364,True,True,45.37793358743136,-45.37793358743136,,
523,2022-03-01,2022,3,,diff_NO2_grid,-0.17107773308360438,0.03236371765638772,0.2034414507399921,-0.4762399091935925,0.3375258937663759,-0.7814020853035807,0.642688069876364,True,True,43.73501282746207,-43.73501282746207,,
523,2023-02-01,2023,2,,diff_NO2_grid,-0.17107773308360438,0.03236371765638772,0.2034414507399921,-0.4762399091935925,0.3375258937663759,-0.7814020853035807,0.642688069876364,True,True,43.09857632439966,-43.09857632439966,,
523,2023-10-01,2023,10,,diff_NO2_grid,-0.17107773308360438,0.03236371765638772,0.2034414507399921,-0.4762399091935925,0.3375258937663759,-0.7814020853035807,0.642688069876364,True,True,42.88756223488656,-42.88756223488656,,
611,2021-08-01,2021,8,,diff_NO2_grid,-0.17107773308360438,0.03236371765638772,0.2034414507399921,-0.4762399091935925,0.3375258937663759,-0.7814020853035807,0.642688069876364,True,True,41.62685789171239,-41.62685789171239,,
