cell_id,fecha,year,month,Vel_viento_idw,variable,q1,q3,iqr,lower_iqr15,upper_iqr15,lower_iqr30,upper_iqr30,flag_iqr15,flag_iqr30,abs_value,diff_PM25_grid,grad_PM25_grid,adv_proxy_PM25_grid
486,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
464,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
523,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
304,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
126,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
169,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
176,2023-07-01,2023,7,1.7177419354838714,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838714,,,
2,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
517,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
519,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
507,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
467,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
445,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
472,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
403,2023-07-01,2023,7,1.7177419354838712,Vel_viento_idw,0.9443333333333334,1.2158064516129037,0.2714731182795703,0.5371236559139778,1.6230161290322591,0.12991397849462238,2.0302258064516145,True,False,1.7177419354838712,,,
483,2023-06-01,2023,6,,diff_PM25_grid,-0.29637085159828924,0.0867968603663742,0.3831677119646634,-0.8711224195452844,0.6615484283133694,-1.4458739874922795,1.2362999962603645,True,True,51.77306917110607,-51.77306917110607,,
483,2023-03-01,2023,3,,diff_PM25_grid,-0.29637085159828924,0.0867968603663742,0.3831677119646634,-0.8711224195452844,0.6615484283133694,-1.4458739874922795,1.2362999962603645,True,True,50.76816985697174,-50.76816985697174,,
483,2023-02-01,2023,2,,diff_PM25_grid,-0.29637085159828924,0.0867968603663742,0.3831677119646634,-0.8711224195452844,0.6615484283133694,-1.4458739874922795,1.2362999962603645,True,True,50.363288391007465,-50.363288391007465,,
523,2020-12-01,2020,12,,diff_PM25_grid,-0.29637085159828924,0.0867968603663742,0.3831677119646634,-0.8711224195452844,0.6615484283133694,-1.4458739874922795,1.2362999962603645,True,True,45.14968366003157,-45.14968366003157,,
483,2022-12-01,2022,12,,diff_PM25_grid,-0.29637085159828924,0.0867968603663742,0.3831677119646634,-0.8711224195452844,0.6615484283133694,-1.4458739874922795,1.2362999962603645,True,True,44.146449217118175,-44.146449217118175,,
523,2020-09-01,2020,9,,diff_PM25_grid,-0.29637085159828924,0.0867968603663742,0.3831677119646634,-0.8711224195452844,0.6615484283133694,-1.4458739874922795,1.2362999962603645,True,True,39.89093017102893,-39.89093017102893,,
483,2024-12-01,2024,12,,diff_PM25_grid,-0.29637085159828924,0.0867968603663742,0.3831677119646634,-0.8711224195452844,0.6615484283133694,-1.4458739874922795,1.2362999962603645,True,True,39.79289585490133,-39.79289585490133,,
