,Vel_viento_idw,diff_PM25_grid,grad_PM25_grid,adv_proxy_PM25_grid
Vel_viento_idw,1.0,0.0006309950166210916,-0.005654117109073205,0.10062237676683905
diff_PM25_grid,0.0006309950166210916,1.0,-0.0953900189820685,-0.09404806540062839
grad_PM25_grid,-0.005654117109073205,-0.0953900189820685,1.0,0.9756580192701424
adv_proxy_PM25_grid,0.10062237676683905,-0.09404806540062839,0.9756580192701424,1.0
