run_id,pollutant,endpoint,Localidad,avoided_cases_total,economic_value_total_cop_2015,participacion_casos_pct,participacion_cop_pct
NO2_ASTHMA,NO2,Asthma,SUMAPAZ,6.062824686487204,188864056.7825829,47.68798713377661,47.6879871337766
NO2_ASTHMA,NO2,Asthma,USME,1.6971842447812775,52869267.73444199,13.349437698432244,13.349437698432242
NO2_ASTHMA,NO2,Asthma,CIUDAD BOLIVAR,0.993114851018726,30936685.342802037,7.81148238432466,7.811482384324661
NO2_ASTHMA,NO2,Asthma,SUBA,0.7990939800475059,24892709.030277986,6.2853843562583815,6.2853843562583815
NO2_ASTHMA,NO2,Asthma,USAQUEN,0.4484837703158824,13970792.269779818,3.5276112001389897,3.5276112001389897
NO2_ASTHMA,NO2,Asthma,SAN CRISTOBAL,0.41151509720260293,12819175.005700795,3.236828982452877,3.236828982452877
NO2_ASTHMA,NO2,Asthma,SANTA FE,0.3971371277649297,12371284.496455621,3.1237370728217466,3.1237370728217466
NO2_ASTHMA,NO2,Asthma,FONTIBON,0.3159040304076164,9840778.815479739,2.484786896636316,2.484786896636316
NO2_ASTHMA,NO2,Asthma,KENNEDY,0.3112925539245494,9697125.947157376,2.4485146897749908,2.4485146897749908
NO2_ASTHMA,NO2,Asthma,ENGATIVA,0.2739633743890445,8534278.487762064,2.1548968589029895,2.1548968589029895
NO2_ASTHMA,NO2,Asthma,CHAPINERO,0.26838754292088096,8360584.8374474775,2.111039384365333,2.111039384365333
NO2_ASTHMA,NO2,Asthma,PUENTE ARANDA,0.17233081493436342,5368305.781576239,1.3554918887329275,1.355491888732928
NO2_ASTHMA,NO2,Asthma,BOSA,0.1635933990560805,5096125.091237791,1.2867665342105243,1.2867665342105243
NO2_ASTHMA,NO2,Asthma,RAFAEL URIBE URIBE,0.1431579344573311,4459536.546139536,1.1260285575657556,1.1260285575657554
NO2_ASTHMA,NO2,Asthma,LOS MARTIRES,0.0736151578851327,2293197.98572834,0.5790302183570406,0.5790302183570407
NO2_ASTHMA,NO2,Asthma,TEUSAQUILLO,0.0648252954773198,2019383.5248549676,0.5098923383939774,0.5098923383939775
NO2_ASTHMA,NO2,Asthma,BARRIOS UNIDOS,0.0630718934852733,1964763.0087568124,0.4961007122195615,0.4961007122195615
NO2_ASTHMA,NO2,Asthma,TUNJUELITO,0.0540303363641592,1683107.9641484788,0.4249830926350808,0.4249830926350808
NO2_CLD,NO2,Chronic Lung Disease,SUMAPAZ,4.5084451108355434,192246800.20257354,47.687532701836595,47.6875327018366
NO2_CLD,NO2,Chronic Lung Disease,USME,1.2620672591320472,53816423.67685437,13.349363741199637,13.349363741199637
NO2_CLD,NO2,Chronic Lung Disease,CIUDAD BOLIVAR,0.7385031676174201,31490872.66753966,7.81142790704595,7.811427907045949
NO2_CLD,NO2,Chronic Lung Disease,SUBA,0.594247422675531,25339593.303116594,6.285580217825836,6.285580217825836
NO2_CLD,NO2,Chronic Lung Disease,USAQUEN,0.3334802156131527,14220092.028715286,3.527346634263556,3.5273466342635564
