Localidad_norm,fecha,PM25,NO2,O3,Temp_media,HR,Vel_viento,Presion,Precipitacion,Precipitacion_media,Cobertura_NO2,Cobertura_O3,Cobertura_PM25,Cobertura_Temp,Cobertura_HR,Cobertura_Viento,Cobertura_Presion,Cobertura_Precip,cx,cy,diff_PM25,grad_PM25,adv_proxy_PM25
BARRIOS UNIDOS,2020-01-01,13.672937771345875,13.822457627118643,17.690691114245418,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.9516129032258064,0.952956989247312,0.928763440860215,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,4.595848737487158,0.0002995594448955874,0.00045030548813336686
ENGATIVA,2020-01-01,17.305021520803443,16.37294617563739,11.864830508474576,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.9489247311827956,0.9516129032258064,0.9368279569892471,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,-5.1990802895433745,0.0005931988527873115,0.000891711823867378
FONTIBON,2020-01-01,19.646153846153847,16.69630681818182,15.080594900849858,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.946236559139785,0.9489247311827956,0.9435483870967742,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,-4.588105435945259,0.0007285972114363983,0.0010952461307398762
KENNEDY,2020-01-01,23.64844192634561,17.867042253521127,21.17669491525424,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.9543010752688172,0.9516129032258064,0.9489247311827956,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-13.69853950897099,0.0008982175612846378,0.0013502238179311007
PUENTE ARANDA,2020-01-01,14.912747875354109,16.92293447293447,10.027042253521126,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.9435483870967742,0.9543010752688172,0.9489247311827956,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,14.994975504208393,0.0012186423420144574,0.0018318946173507648
SAN CRISTOBAL,2020-01-01,11.995295902883155,,13.524825174825176,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,,0.7688172043010753,0.885752688172043,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,15.011637370629753,0.0005831904610845297,0.0008766669511786802
SUBA,2020-01-01,15.680184410484078,11.346686303387331,14.277353363942833,16.358387096774194,83.1324193548387,1.3029032258064517,,26.29,0.8480645161290322,0.9126344086021504,0.8393817204301075,0.9314516129032258,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,-0.3477003222816375,0.00013413229844695074,0.00017476140433136584
TEUSAQUILLO,2020-01-01,13.396892655367232,,,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,,0.6478494623655914,0.9516129032258064,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,8.041161526752136,0.0004397303431691567,0.0006610139997317001
TUNJUELITO,2020-01-01,22.68788454855788,8.552272599781224,,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.9495967741935485,0.3655913978494624,0.9401881720430108,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-17.507167941090763,0.0009677129425907481,0.0014546910685396407
USAQUEN,2020-01-01,15.714893617021277,,17.75249169435216,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,,0.8091397849462365,0.9475806451612904,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,-0.4865371484304344,0.00012441060371247398,0.00018701723009681572
BARRIOS UNIDOS,2020-02-01,19.610410094637224,17.65530726256983,18.91921921921922,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,0.771551724137931,0.956896551724138,0.9109195402298852,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,4.56293707790444,0.0006188795566931204,0.0008427432308210801
ENGATIVA,2020-02-01,19.098684210526315,22.198305084745765,12.445343511450382,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,0.932471264367816,0.9410919540229884,0.8735632183908046,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,6.501230342444757,0.0007960887190252777,0.0010840532246313176
FONTIBON,2020-02-01,27.05271903323263,22.02844175491679,16.965091463414634,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,0.9497126436781608,0.942528735632184,0.9511494252873564,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,-16.0744154285599,0.0012389975802435513,0.0016871729118557873
KENNEDY,2020-02-01,28.85090361445783,22.743543543543545,20.39036144578313,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,0.956896551724138,0.9540229885057472,0.9540229885057472,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-2.0078686259263527,0.0003034302154501949,0.0004131882485561446
PUENTE ARANDA,2020-02-01,27.16132930513595,23.97155824508321,10.17238239757208,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,0.9497126436781608,0.9468390804597702,0.9511494252873564,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,-5.1681365757176145,0.001156317329819741,0.0015745852191235022
SAN CRISTOBAL,2020-02-01,17.58078078078078,,13.280150375939847,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,,0.9554597701149424,0.956896551724138,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,21.883934688026013,0.0008820448016377461,0.0012011016971267099
SUBA,2020-02-01,21.60626457104231,14.391433021806852,15.784512417407154,16.581379310344825,80.82448275862069,1.2646551724137929,,123.1,4.244827586206896,0.9224137931034484,0.951867816091954,0.9475574712643677,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,-3.608940682621963,0.0002197218269139945,0.0002778723448989913
TEUSAQUILLO,2020-02-01,17.134153846153847,,20.80537634408602,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,,0.9353448275862069,0.9339080459770116,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,22.421996894544264,0.0015356599045841853,0.002091145159725154
TUNJUELITO,2020-02-01,30.33079387907856,10.43319769243388,15.170481927710844,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,0.951867816091954,0.9540229885057472,0.9554597701149425,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-17.399367936861115,0.0007889716790426788,0.0010743617794963926
USAQUEN,2020-02-01,22.500758725341427,,,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,,0.2140804597701149,0.9468390804597702,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,-7.1869172998184325,0.00026113570310748197,0.0003555947901970504
BARRIOS UNIDOS,2020-03-01,32.57886904761905,,30.935177304964537,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,0.6895161290322581,0.9475806451612904,0.9032258064516128,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,2.927830822600047,0.0006657867009237404,0.0006992908058734512
