Localidad_norm,fecha,PM25,NO2,O3,Temp_media,HR,Vel_viento,Presion,Precipitacion,Precipitacion_media,Cobertura_NO2,Cobertura_O3,Cobertura_PM25,Cobertura_Temp,Cobertura_HR,Cobertura_Viento,Cobertura_Presion,Cobertura_Precip,cx,cy,diff_PM25,grad_PM25,adv_proxy_PM25,PM25_lag1,diff_PM25_lag1,adv_proxy_PM25_lag1,Vel_viento_lag1,Temp_media_lag1,HR_lag1,Precipitacion_lag1,Presion_lag1
BARRIOS UNIDOS,2020-01-01,13.672937771345875,13.822457627118643,17.690691114245418,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.9516129032258064,0.952956989247312,0.928763440860215,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,4.595848737487158,0.0002995594448955,0.0004503054881333,,,,,,,,
BARRIOS UNIDOS,2020-02-01,19.610410094637224,17.65530726256983,18.91921921921922,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,0.771551724137931,0.956896551724138,0.9109195402298852,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,4.56293707790444,0.0006188795566931,0.000842743230821,13.672937771345875,4.595848737487158,0.0004503054881333,1.5032258064516129,18.848064516129032,79.68354838709678,23.51,
BARRIOS UNIDOS,2020-03-01,32.57886904761905,,30.935177304964537,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,0.6895161290322581,0.9475806451612904,0.9032258064516128,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,2.927830822600047,0.0006657867009237,0.0006992908058734,19.610410094637224,4.56293707790444,0.000842743230821,1.3617241379310343,19.266896551724138,76.77137931034483,132.39,
BARRIOS UNIDOS,2020-04-01,13.598102189781024,8.422238586156112,27.08525547445256,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,0.9430555555555556,0.9513888888888888,0.9513888888888888,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,3.6994715081666936,0.0003947357962345,0.0003514464372474,32.57886904761905,2.927830822600047,0.0006992908058734,1.0503225806451613,19.381612903225808,80.22322580645161,106.01,
BARRIOS UNIDOS,2020-05-01,6.039820359281437,8.322881355932203,15.335502121640737,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,0.9516129032258064,0.9502688172043012,0.8978494623655914,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,7.252260681164614,0.0005587539902912,0.0006393227108267,13.598102189781024,3.6994715081666936,0.0003514464372474,0.8903333333333333,19.68166666666667,79.98333333333333,156.11,
BARRIOS UNIDOS,2020-06-01,7.477812995245642,8.904405286343613,12.14361233480176,18.52533333333333,79.155,1.244,,312.54,10.418,0.9458333333333332,0.9458333333333332,0.8763888888888889,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,9.896503597614572,0.0005325350957488,0.0006624736591115,6.039820359281437,7.252260681164614,0.0006393227108267,1.1441935483870966,19.64967741935484,78.75709677419356,140.88,
BARRIOS UNIDOS,2020-07-01,5.93328530259366,9.933962264150944,12.1621387283237,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,0.8548387096774194,0.9301075268817204,0.9327956989247312,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,7.700287768327357,0.0003805070335907,0.000430463924775,7.477812995245642,9.896503597614572,0.0006624736591115,1.244,18.52533333333333,79.155,312.54,
BARRIOS UNIDOS,2020-08-01,8.267663817663816,10.403404255319147,,18.786129032258064,77.94483870967741,1.1151612903225807,,121.34,3.914193548387097,0.9475806451612904,0.521505376344086,0.9435483870967742,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,6.698819887229089,0.0003841282019476,0.0004283649013331,5.93328530259366,7.700287768327357,0.000430463924775,1.1312903225806452,18.291935483870965,78.14645161290322,205.21,
BARRIOS UNIDOS,2020-09-01,10.250224215246636,14.25478645066274,12.95,18.94533333333333,76.04299999999999,1.134,,119.27,3.975666666666667,0.9430555555555556,0.9388888888888888,0.9291666666666668,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,8.638442643478944,0.0005444318893823,0.0006173857625595,8.267663817663816,6.698819887229089,0.0004283649013331,1.1151612903225807,18.786129032258064,77.94483870967741,121.34,
BARRIOS UNIDOS,2020-10-01,10.33487031700288,14.10394366197183,15.534045801526716,19.17096774193548,72.35612903225807,1.274516129032258,,60.73,1.959032258064516,0.9543010752688172,0.8803763440860215,0.9327956989247312,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,6.713082561612854,0.0004957030906417,0.0006317815842339,10.250224215246636,8.638442643478944,0.0006173857625595,1.134,18.94533333333333,76.04299999999999,119.27,
BARRIOS UNIDOS,2020-11-01,17.50541727672035,18.59384164222874,11.12606149341142,18.61133333333333,81.52933333333334,0.8076666666666666,,71.11,2.3703333333333334,0.9472222222222222,0.9486111111111112,0.9486111111111112,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,8.789872795552387,0.0005787051469808,0.0004674008570448,10.33487031700288,6.713082561612854,0.0006317815842339,1.274516129032258,19.17096774193548,72.35612903225807,60.73,
BARRIOS UNIDOS,2020-12-01,14.112998522895126,17.019590643274853,12.225693430656936,19.31935483870968,74.79225806451613,0.8703225806451613,,113.99,3.677096774193549,0.9193548387096774,0.9206989247311828,0.9099462365591398,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,13.3697379028494,0.0006707727679098,0.0005837886863937,17.50541727672035,8.789872795552387,0.0004674008570448,0.8076666666666666,18.61133333333333,81.52933333333334,71.11,
BARRIOS UNIDOS,2021-01-01,13.493515850144092,13.118945868945868,14.209738372093025,18.83806451612904,73.38612903225807,1.0696774193548386,,105.14,3.3916129032258064,0.9435483870967742,0.9247311827956988,0.9327956989247312,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,9.99346302798776,0.000688622856987,0.0007366043205706,14.112998522895126,13.3697379028494,0.0005837886863937,0.8703225806451613,19.31935483870968,74.79225806451613,113.99,
BARRIOS UNIDOS,2021-02-01,14.644918032786885,13.92780487804878,13.082026143790848,19.62071428571429,74.44678571428572,1.0442857142857145,,98.38,3.5135714285714283,0.9151785714285714,0.9107142857142856,0.9077380952380952,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,12.733105669931035,0.0006716269763993,0.0007013704567827,13.493515850144092,9.99346302798776,0.0007366043205706,1.0696774193548386,18.83806451612904,73.38612903225807,105.14,
BARRIOS UNIDOS,2021-03-01,16.124881141045957,16.9851904090268,12.660028248587569,18.69483870967742,79.48903225806451,0.9319354838709678,,132.12,4.261935483870968,0.952956989247312,0.9516129032258064,0.8481182795698925,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,12.33301349184713,0.0005901807004406,0.0005500103366364,14.644918032786885,12.733105669931035,0.0007013704567827,1.0442857142857145,19.62071428571429,74.44678571428572,98.38,
BARRIOS UNIDOS,2021-04-01,10.206607929515418,11.887554904831624,12.646041055718475,19.200333333333333,79.31633333333333,0.9443333333333334,,176.72,5.890666666666666,0.9486111111111112,0.9472222222222222,0.9458333333333332,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,9.504392395172014,0.0005011458223207,0.0004732487048782,16.124881141045957,12.33301349184713,0.0005500103366364,0.9319354838709678,18.69483870967742,79.48903225806451,132.12,
BARRIOS UNIDOS,2021-05-01,8.312765957446809,10.2375533428165,10.133898305084744,19.156774193548387,78.49290322580646,1.1796774193548387,,53.85,1.7370967741935484,0.9448924731182796,0.9516129032258064,0.9475806451612904,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,9.240729598921645,0.0005050549360403,0.0005958019035805,10.206607929515418,9.504392395172014,0.0004732487048782,0.9443333333333334,19.200333333333333,79.31633333333333,176.72,
BARRIOS UNIDOS,2021-06-01,8.479017857142857,12.363450292397662,9.027086383601755,18.355666666666664,79.12733333333334,1.1006666666666665,,196.89,6.563,0.95,0.9486111111111112,0.9333333333333332,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,12.707300053340091,0.0006437310086474,0.000708533263518,8.312765957446809,9.240729598921645,0.0005958019035805,1.1796774193548387,19.156774193548387,78.49290322580646,53.85,
BARRIOS UNIDOS,2021-07-01,5.877464788732395,9.043767705382436,11.381161473087818,18.631612903225808,75.01322580645162,1.6390322580645162,,57.61,1.8583870967741936,0.9489247311827956,0.9489247311827956,0.9543010752688172,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,8.829128704035986,0.0004571855533931,0.0007493418699324,8.479017857142857,12.707300053340091,0.000708533263518,1.1006666666666665,18.355666666666664,79.12733333333334,196.89,
BARRIOS UNIDOS,2021-08-01,10.16619718309859,14.291513437057992,12.61723163841808,19.18290322580645,73.33967741935484,1.2638709677419355,,71.11,2.293870967741936,0.9502688172043012,0.9516129032258064,0.9543010752688172,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,-0.1960028129081141,0.0004798285378623,0.0006064413584983,5.877464788732395,8.829128704035986,0.0007493418699324,1.6390322580645162,18.631612903225808,75.01322580645162,57.61,
BARRIOS UNIDOS,2021-09-01,9.998973607038124,15.290602055800294,14.939619883040937,19.143,72.27333333333333,1.2813333333333332,,145.0,4.833333333333333,0.9458333333333332,0.95,0.9472222222222222,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,10.01672874379252,0.0007402651448145,0.0009485264055557,10.16619718309859,-0.1960028129081141,0.0006064413584983,1.2638709677419355,19.18290322580645,73.33967741935484,71.11,
BARRIOS UNIDOS,2021-10-01,14.30520393811533,18.347175141242936,13.153682719546742,19.622903225806454,76.90709677419355,0.8551612903225807,,96.44,3.110967741935484,0.9516129032258064,0.9489247311827956,0.9556451612903226,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,8.513368111965885,0.0005147838153017,0.0004402231917306,9.998973607038124,10.01672874379252,0.0009485264055557,1.2813333333333332,19.143,72.27333333333333,145.0,
BARRIOS UNIDOS,2021-11-01,17.698389458272327,16.734264705882353,13.60795847750865,19.259666666666664,77.90433333333334,0.9016666666666668,,86.48,2.8826666666666667,0.9444444444444444,0.8027777777777778,0.9486111111111112,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,3.095078107286543,0.000278609151547,0.0002512125849782,14.30520393811533,8.513368111965885,0.0004402231917306,0.8551612903225807,19.622903225806454,76.90709677419355,96.44,
BARRIOS UNIDOS,2021-12-01,17.901306240928882,14.613702623906706,12.42272047832586,19.739032258064515,76.7441935483871,1.0374193548387096,,65.48,2.112258064516129,0.922043010752688,0.8991935483870968,0.9260752688172044,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,4.439862287057856,0.0002194237389814,0.0002276344337304,17.698389458272327,3.095078107286543,0.0002512125849782,0.9016666666666668,19.259666666666664,77.90433333333334,86.48,
BARRIOS UNIDOS,2022-01-01,16.950773558368496,13.811965811965813,14.472893258426968,19.448709677419355,71.82548387096774,1.1783870967741936,,57.49,1.854516129032258,0.9435483870967742,0.956989247311828,0.9556451612903226,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,3.258545935355137,0.0002400437961159,0.0002828645120036,17.901306240928882,4.439862287057856,0.0002276344337304,1.0374193548387096,19.739032258064515,76.7441935483871,65.48,
BARRIOS UNIDOS,2022-02-01,21.288,18.2124394184168,16.097798742138366,19.290714285714284,75.20714285714287,0.8960714285714285,,131.69,4.703214285714286,0.9211309523809524,0.9464285714285714,0.9300595238095238,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,4.971191152263774,0.0003683338700172,0.0003300534570976,16.950773558368496,3.258545935355137,0.0002828645120036,1.1783870967741936,19.448709677419355,71.82548387096774,57.49,
BARRIOS UNIDOS,2022-03-01,16.77542372881356,15.84434628975265,12.905390070921984,18.86483870967741,81.53903225806452,0.8858064516129033,,199.88,6.447741935483871,0.760752688172043,0.9475806451612904,0.9516129032258064,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,8.185549448314479,0.0005187457073407,0.0004595082943089,21.288,4.971191152263774,0.0003300534570976,0.8960714285714285,19.290714285714284,75.20714285714287,131.69,
BARRIOS UNIDOS,2022-04-01,14.639296187683284,13.723865300146413,11.48389458272328,18.88,81.47,0.995,,260.12,8.670666666666667,0.9486111111111112,0.9486111111111112,0.9472222222222222,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,6.03217814231502,0.000413917264236,0.0004118476779148,16.77542372881356,8.185549448314479,0.0004595082943089,0.8858064516129033,18.86483870967741,81.53903225806452,199.88,
