Localidad_norm,fecha,PM25,NO2,O3,Temp_media,HR,Vel_viento,Presión,Precipitación,Precipitación_media,Cobertura_NO2,Cobertura_O3,Cobertura_PM25,Cobertura_Temp,Cobertura_HR,Cobertura_Viento,Cobertura_Presion,Cobertura_Precip,cx,cy,diff_O3,grad_O3,adv_proxy_O3
SAN CRISTOBAL,2022-11-01,16.278592375366568,16.62485465116279,6.549923896499239,17.981333333333332,87.00733333333332,0.9713333333333334,,179.19,5.973,0.9555555555555556,0.9125,0.9472222222222222,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,5.313748698229594,0.00031997334759834375,0.0003108007783005246
SUBA,2022-11-01,13.538746815218538,15.903889603417886,6.961010709161713,16.64488888888889,88.00544444444444,0.8282222222222222,,181.45666666666668,6.048555555555556,0.9069444444444444,0.7111111111111111,0.9314814814814815,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,5.756346442471271,0.00048475978624888156,0.0004014888274110181
TEUSAQUILLO,2022-11-01,16.241799709724237,17.31542288557214,,17.981333333333332,87.00733333333332,0.9713333333333334,,179.19,5.973,0.8375,0.5152777777777777,0.9569444444444444,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,,,
TUNJUELITO,2022-11-01,24.37254901960784,15.89775112443778,11.661988304093567,17.981333333333332,87.00733333333332,0.9713333333333334,,179.19,5.973,0.9263888888888888,0.95,0.9208333333333332,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-6.075940881355594,0.0007187407933105587,0.0006981368905689893
USAQUEN,2022-11-01,13.378457059679768,16.20367107195301,12.29633431085044,17.981333333333332,87.00733333333332,0.9713333333333334,,179.19,5.973,0.9458333333333332,0.9472222222222222,0.9541666666666668,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,-10.249624362594911,0.0006928652006879831,0.0006730030649349277
BARRIOS UNIDOS,2022-12-01,18.98682284040996,11.726365054602184,,18.003548387096775,82.19999999999999,0.9396774193548388,,70.75,2.282258064516129,0.8615591397849462,0.303763440860215,0.918010752688172,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,,,
ENGATIVA,2022-12-01,17.849112636664124,15.161976047904192,10.239202323786659,18.003548387096775,82.19999999999999,0.9396774193548388,,70.75,2.282258064516129,0.8978494623655914,0.918010752688172,0.9233870967741935,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,14.362847456594016,0.0036616386366574087,0.003440759144704204
FONTIBON,2022-12-01,21.968756957328385,21.406398454873262,24.602049780380675,19.83967741935484,81.73758064516127,0.9579032258064516,,91.575,2.954032258064516,0.9032258064516129,0.918010752688172,0.9045698924731183,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,-20.011107149511133,0.002347206612008352,0.002248396785277033
KENNEDY,2022-12-01,29.551090342679128,21.994598540145983,18.95379008746356,18.003548387096775,82.19999999999999,0.9396774193548388,,70.75,2.282258064516129,0.9206989247311828,0.922043010752688,0.8629032258064516,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-7.880906830835247,0.0012185388003333817,0.0011450333952810134
PUENTE ARANDA,2022-12-01,19.065014577259475,22.577860326894506,9.013119533527696,18.003548387096775,82.19999999999999,0.9396774193548388,,70.75,2.282258064516129,0.9045698924731184,0.922043010752688,0.922043010752688,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,16.292845138055227,0.001628590060013539,0.0015303493047804644
SAN CRISTOBAL,2022-12-01,18.107714701601164,15.651884057971014,8.474041811846691,18.003548387096775,82.19999999999999,0.9396774193548388,,70.75,2.282258064516129,0.9274193548387096,0.771505376344086,0.9233870967741936,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,7.430330027481375,0.00044616115220450425,0.00041924756011991
SUBA,2022-12-01,15.620905321040714,15.287390753671652,10.27655816400423,16.43537634408602,83.79860215053763,0.8782795698924732,,72.64999999999999,2.3435483870967744,0.878584229390681,0.8982974910394265,0.8745519713261648,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,7.2236979360767055,0.0006263278851264692,0.0005500909855605377
TEUSAQUILLO,2022-12-01,18.40377906976744,17.308479532163744,,18.003548387096775,82.19999999999999,0.9396774193548388,,70.75,2.282258064516129,0.9193548387096774,,0.9247311827956988,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,,,
TUNJUELITO,2022-12-01,24.80205278592376,14.388005997001498,15.36529411764706,18.003548387096775,82.19999999999999,0.9396774193548388,,70.75,2.282258064516129,0.896505376344086,0.913978494623656,0.9166666666666666,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-9.654930920103235,0.0008621149883775875,0.0008101099874657784
USAQUEN,2022-12-01,14.250655021834062,14.186892488954344,17.537611940298508,18.003548387096775,82.19999999999999,0.9396774193548388,,70.75,2.282258064516129,0.9126344086021504,0.9005376344086021,0.9233870967741936,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,-14.559463392806126,0.000972054584746576,0.000913417743666702
BARRIOS UNIDOS,2023-01-01,16.94943820224719,12.562553191489362,16.91565585331453,17.54,82.15516129032258,0.9661290322580643,,181.32,5.849032258064516,0.9475806451612904,0.952956989247312,0.956989247311828,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,-10.692000336698268,0.0007837821862502121,0.0007572347251030274
CIUDAD BOLIVAR,2023-01-01,20.056276445698167,,,17.54,82.15516129032258,0.9661290322580643,,181.32,5.849032258064516,,,0.952956989247312,1.0,1.0,1.0,0.0,1.0,990627.3993600724,987422.5313793835,,,
ENGATIVA,2023-01-01,16.574614537444933,15.66814701378254,14.604231311706627,17.54,82.15516129032258,0.9661290322580643,,181.32,5.849032258064516,0.8776881720430108,0.8360215053763442,0.9361559139784946,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,7.702228690894184,0.0008930231418930902,0.0008627755838612274
FONTIBON,2023-01-01,18.53149568414846,20.27087545068246,19.99503546099291,19.343387096774194,81.63354838709678,0.9753225806451612,,199.325,6.429838709677419,0.9475806451612903,0.9475806451612904,0.939516129032258,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,-7.603466728923259,0.000889451759946189,0.0008675023858700974
KENNEDY,2023-01-01,24.55767511177348,20.186206896551724,17.782372881355933,17.54,82.15516129032258,0.9661290322580643,,181.32,5.849032258064516,0.896505376344086,0.793010752688172,0.9018817204301076,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-9.347837636873354,0.0008948644801839734,0.000864554554242258
PUENTE ARANDA,2023-01-01,15.287101449275363,23.63888888888889,8.535080058224164,17.54,82.15516129032258,0.9661290322580643,,181.32,5.849032258064516,0.9193548387096774,0.9233870967741936,0.9274193548387096,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,16.181378252884976,0.0016113323515746037,0.0015567549654728829
SAN CRISTOBAL,2023-01-01,16.388967468175387,13.693389592123768,6.7147385103011095,17.54,82.15516129032258,0.9661290322580643,,181.32,5.849032258064516,0.9556451612903226,0.8481182795698925,0.9502688172043012,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,10.574768525599314,0.0006297913635887421,0.0006084597206284781
SUBA,2023-01-01,14.818040289860022,14.031661347499687,10.759258230107571,15.965161290322579,83.9505376344086,0.9139784946236559,,186.5,6.016129032258064,0.9439964157706093,0.8906810035842293,0.949820788530466,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,20.159601896419176,0.0009399481367078549,0.0008590923830125555
TEUSAQUILLO,2023-01-01,14.902118644067798,18.74926900584796,,17.54,82.15516129032258,0.9661290322580643,,181.32,5.849032258064516,0.9193548387096774,,0.9516129032258064,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,,,
TUNJUELITO,2023-01-01,23.427762039660056,14.201490312965724,15.46916548797737,17.54,82.15516129032258,0.9661290322580643,,181.32,5.849032258064516,0.9018817204301076,0.9502688172043012,0.9489247311827956,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-13.375305014050905,0.0009072964349544494,0.000876565426673734
USAQUEN,2023-01-01,12.81949152542373,12.46237623762376,20.91748942172073,17.54,82.15516129032258,0.9661290322580643,,181.32,5.849032258064516,0.9502688172043012,0.952956989247312,0.9516129032258064,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,-20.473322870033464,0.0009235460053175272,0.0008922646083632237
BARRIOS UNIDOS,2023-02-01,22.01456310679612,14.824959216965745,14.21414944356121,18.75321428571429,78.37249999999999,0.9896428571428572,,54.03,1.9296428571428568,0.9122023809523808,0.9360119047619048,0.9196428571428572,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,-7.46702524323983,0.0005513425107288327,0.0005456321775819984
CIUDAD BOLIVAR,2023-02-01,23.110518053375195,,,18.75321428571429,78.37249999999999,0.9896428571428572,,54.03,1.9296428571428568,,,0.9479166666666666,1.0,1.0,1.0,0.0,1.0,990627.3993600724,987422.5313793835,,,
ENGATIVA,2023-02-01,20.84090773809524,12.694771241830065,12.402496214415505,18.75321428571429,78.37249999999999,0.9896428571428572,,54.03,1.9296428571428568,0.9107142857142856,0.9367559523809523,0.9449404761904763,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,14.563474126190167,0.0017868142832068107,0.0017683079924164546
FONTIBON,2023-02-01,26.29157235400007,22.98892514106583,25.154317111459967,20.487500000000004,79.1705357142857,0.9660714285714286,,66.155,2.3626785714285714,0.9397321428571429,0.9479166666666666,0.9508928571428571,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,-19.013965484542766,0.00219797439695606,0.0021234002656307653
KENNEDY,2023-02-01,32.28846153846154,21.23817891373801,18.892172523961666,18.75321428571429,78.37249999999999,0.9896428571428572,,54.03,1.9296428571428568,0.9315476190476192,0.9315476190476192,0.9285714285714286,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-6.18329783533979,0.0012063554215132923,0.0011938610260761903
PUENTE ARANDA,2023-02-01,21.53582554517134,24.5978021978022,8.558777429467085,18.75321428571429,78.37249999999999,0.9896428571428572,,54.03,1.9296428571428568,0.9479166666666666,0.949404761904762,0.9553571428571428,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,18.55474286064565,0.0018450280098951943,0.0018259187912212798
SAN CRISTOBAL,2023-02-01,18.59090909090909,12.532087227414332,9.309930313588849,18.75321428571429,78.37249999999999,0.9896428571428572,,54.03,1.9296428571428568,0.9553571428571428,0.8541666666666666,0.9166666666666666,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,6.719041997907542,0.0004928976260179255,0.0004877926148913113
SUBA,2023-02-01,18.532752238607245,15.355843785010634,10.825413217042021,16.90952380952381,80.72416666666665,1.0198809523809522,,49.54333333333333,1.7694047619047615,0.9191468253968255,0.8472222222222223,0.9260912698412698,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,4.965819223892673,0.0002619249833593058,0.00026713230148085385
TEUSAQUILLO,2023-02-01,17.790015600624024,21.476971608832805,,18.75321428571429,78.37249999999999,0.9896428571428572,,54.03,1.9296428571428568,0.9434523809523808,,0.9538690476190476,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,,,
TUNJUELITO,2023-02-01,25.1244094488189,14.01309148264984,16.780125195618155,18.75321428571429,78.37249999999999,0.9896428571428572,,54.03,1.9296428571428568,0.9434523809523808,0.9508928571428572,0.9449404761904762,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,-13.579495319836864,0.0009257833808666939,0.0009161949101362889
USAQUEN,2023-02-01,16.031104199066874,10.84442700156986,,18.75321428571429,78.37249999999999,0.9896428571428572,,54.03,1.9296428571428568,0.9479166666666666,0.21875,0.956845238095238,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,,,
BARRIOS UNIDOS,2023-03-01,19.81065918653577,15.037906647807636,13.61238670694864,18.51451612903226,84.31870967741936,0.8709677419354839,,165.16,5.32774193548387,0.9502688172043012,0.8897849462365591,0.9583333333333334,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,-7.223968208887689,0.0005303236241148072,0.00046189476939031596
CIUDAD BOLIVAR,2023-03-01,22.16295774647888,,,18.51451612903226,84.31870967741936,0.8709677419354839,,165.16,5.32774193548387,,,0.9543010752688172,1.0,1.0,1.0,0.0,1.0,990627.3993600724,987422.5313793835,,,
ENGATIVA,2023-03-01,19.890449750690323,16.57837837837838,12.012528368851402,18.51451612903226,84.31870967741936,0.8709677419354839,,165.16,5.32774193548387,0.9448924731182796,0.9475806451612903,0.9536290322580646,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,20.067979686759955,0.002496602922862717,0.0021744606102352695
FONTIBON,2023-03-01,23.203568769279862,21.061267665228062,30.48064971751412,20.439032258064515,82.9551612903226,0.8837096774193548,,201.53,6.500967741935484,0.9469086021505377,0.9516129032258064,0.8776881720430108,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,-28.813459922906212,0.0032999286075559987,0.002916178845290212
KENNEDY,2023-03-01,31.71929824561404,19.20225988700565,20.135311143270624,18.51451612903226,84.31870967741936,0.8709677419354839,,165.16,5.32774193548387,0.9516129032258064,0.928763440860215,0.9193548387096774,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-6.084284813102311,0.0016935489389215332,0.0014750264951897225
PUENTE ARANDA,2023-03-01,18.8028129395218,23.440793201133147,7.988276836158191,18.51451612903226,84.31870967741936,0.8709677419354839,,165.16,5.32774193548387,0.9489247311827956,0.9516129032258064,0.9556451612903226,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,20.01147953399149,0.0019996840990626577,0.0017416603443448954
SAN CRISTOBAL,2023-03-01,18.83994334277621,13.235724331926864,,18.51451612903226,84.31870967741936,0.8709677419354839,,165.16,5.32774193548387,0.9556451612903226,0.5497311827956989,0.9489247311827956,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,,,
SUBA,2023-03-01,18.69976855002176,16.744797579422954,13.504267525601579,17.007956989247315,85.51924731182795,0.8191397849462366,,156.92999999999998,5.062258064516128,0.9090501792114695,0.9005376344086022,0.9475806451612904,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,5.442294920222507,0.00045656323035831353,0.00037398910633006804
