Localidad_norm,fecha,PM25,NO2,O3,Temp_media,HR,Vel_viento,Presión,Precipitación,Precipitación_media,Cobertura_NO2,Cobertura_O3,Cobertura_PM25,Cobertura_Temp,Cobertura_HR,Cobertura_Viento,Cobertura_Presion,Cobertura_Precip,cx,cy,diff_O3,grad_O3,adv_proxy_O3
BARRIOS UNIDOS,2020-01-01,13.672937771345875,13.822457627118643,17.690691114245418,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.9516129032258064,0.952956989247312,0.928763440860215,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,-13.489509466495134,0.0010473491345428824,0.001574402247409623
ENGATIVA,2020-01-01,17.305021520803443,16.37294617563739,11.864830508474576,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.9489247311827956,0.9516129032258064,0.9368279569892471,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,9.041624998146125,0.0009287786160510129,0.0013961639841282968
FONTIBON,2020-01-01,19.646153846153847,16.69630681818182,15.080594900849858,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.946236559139785,0.9489247311827956,0.9435483870967742,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,2.8803356220291008,0.0009672413213533507,0.0014539821153247143
KENNEDY,2020-01-01,23.64844192634561,17.867042253521127,21.17669491525424,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.9543010752688172,0.9516129032258064,0.9489247311827956,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-17.2457526761375,0.0017143317790984046,0.0025770277711608274
PUENTE ARANDA,2020-01-01,14.912747875354109,16.92293447293447,10.027042253521126,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.9435483870967742,0.9543010752688172,0.9489247311827956,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,11.149652661733116,0.0023140021369501013,0.0034784677284475716
SAN CRISTOBAL,2020-01-01,11.995295902883155,,13.524825174825176,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,,0.7688172043010753,0.885752688172043,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,-3.4977829213040508,0.00038813947585191323,0.0005834612766031985
SUBA,2020-01-01,15.680184410484078,11.346686303387331,14.277353363942833,16.358387096774194,83.1324193548387,1.3029032258064517,,26.29,0.8480645161290322,0.9126344086021504,0.8393817204301075,0.9314516129032258,1.0,1.0,1.0,0.0,1.0,1000184.3919040437,1018467.8222482742,4.475953225243654,0.00040923635291826156,0.0005331953643344705
TEUSAQUILLO,2020-01-01,13.396892655367232,,,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,,0.6478494623655914,0.9516129032258064,1.0,1.0,1.0,0.0,1.0,999083.3876167,1004973.201652838,,,
TUNJUELITO,2020-01-01,22.68788454855788,8.552272599781224,,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.9495967741935485,0.3655913978494624,0.9401881720430108,1.0,1.0,1.0,0.0,1.0,993510.4897483994,997638.3325117284,,,
USAQUEN,2020-01-01,15.714893617021277,,17.75249169435216,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,,0.8091397849462365,0.9475806451612904,1.0,1.0,1.0,0.0,1.0,1005505.5080440022,1016114.784772832,-9.42460009639365,0.00038845775873216996,0.0005839397276425522
BARRIOS UNIDOS,2020-02-01,19.610410094637224,17.65530726256983,18.91921921921922,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,0.771551724137931,0.956896551724138,0.9109195402298852,1.0,1.0,1.0,0.0,1.0,1000438.9545418106,1008112.973077683,-13.334555404549173,0.0009703474702265064,0.0013213455723877494
ENGATIVA,2020-02-01,19.098684210526315,22.198305084745765,12.445343511450382,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,0.932471264367816,0.9410919540229884,0.8735632183908046,1.0,1.0,1.0,0.0,1.0,996041.4771692234,1011602.8590215645,19.353656492368728,0.0011505129557268417,0.0015666812628156196
FONTIBON,2020-02-01,27.05271903323263,22.02844175491679,16.965091463414634,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,0.9497126436781608,0.942528735632184,0.9511494252873564,1.0,1.0,1.0,0.0,1.0,993049.7034200324,1009066.0409648584,2.7458069110756327,0.0007684289703177597,0.0010463882771671836
KENNEDY,2020-02-01,28.85090361445783,22.743543543543545,20.39036144578313,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,0.956896551724138,0.9540229885057472,0.9540229885057472,1.0,1.0,1.0,0.0,1.0,991660.3857957564,1003776.4359295673,-18.863128548651837,0.0011870569609633826,0.0016164441168428955
PUENTE ARANDA,2020-02-01,27.16132930513595,23.97155824508321,10.17238239757208,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,0.9497126436781608,0.9468390804597702,0.9511494252873564,1.0,1.0,1.0,0.0,1.0,996219.2899711643,1002216.689767894,25.849072524863754,0.0019116974148295175,0.0026032045141937115
SAN CRISTOBAL,2020-02-01,17.58078078078078,,13.280150375939847,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,,0.9554597701149424,0.956896551724138,1.0,1.0,1.0,0.0,1.0,1001269.0128432276,994752.74948143,6.307789541549404,0.0004310782788123897,0.0005870096975965954
