Localidad_norm,fecha,PM25,NO2,O3,Temp_media,HR,Vel_viento,Presión,Precipitación,Precipitación_media,Cobertura_NO2,Cobertura_O3,Cobertura_PM25,Cobertura_Temp,Cobertura_HR,Cobertura_Viento,Cobertura_Presion,Cobertura_Precip
BARRIOS UNIDOS,2020-01-01,13.672937771345875,13.822457627118643,17.690691114245418,18.848064516129032,79.68354838709678,1.5032258064516129,,23.51,0.7583870967741935,0.9516129032258064,0.952956989247312,0.928763440860215,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2020-02-01,19.610410094637224,17.65530726256983,18.91921921921922,19.266896551724138,76.77137931034483,1.3617241379310343,,132.39,4.565172413793103,0.771551724137931,0.956896551724138,0.9109195402298852,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2020-03-01,32.57886904761905,,30.935177304964537,19.381612903225808,80.22322580645161,1.0503225806451613,,106.01,3.419677419354839,0.6895161290322581,0.9475806451612904,0.9032258064516128,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2020-04-01,13.598102189781024,8.422238586156112,27.08525547445256,19.68166666666667,79.98333333333333,0.8903333333333333,,156.11,5.203666666666667,0.9430555555555556,0.9513888888888888,0.9513888888888888,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2020-05-01,6.039820359281437,8.322881355932203,15.335502121640737,19.64967741935484,78.75709677419356,1.1441935483870966,,140.88,4.5445161290322575,0.9516129032258064,0.9502688172043012,0.8978494623655914,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2020-06-01,7.477812995245642,8.904405286343613,12.14361233480176,18.52533333333333,79.155,1.244,,312.54,10.418,0.9458333333333332,0.9458333333333332,0.8763888888888889,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2020-07-01,5.93328530259366,9.933962264150944,12.1621387283237,18.291935483870965,78.14645161290322,1.1312903225806452,,205.21,6.619677419354839,0.8548387096774194,0.9301075268817204,0.9327956989247312,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2020-08-01,8.267663817663816,10.403404255319147,,18.786129032258064,77.94483870967741,1.1151612903225807,,121.34,3.914193548387097,0.9475806451612904,0.521505376344086,0.9435483870967742,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2020-09-01,10.250224215246636,14.25478645066274,12.95,18.94533333333333,76.04299999999999,1.134,,119.27,3.975666666666667,0.9430555555555556,0.9388888888888888,0.9291666666666668,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2020-10-01,10.33487031700288,14.10394366197183,15.534045801526716,19.17096774193548,72.35612903225807,1.274516129032258,,60.73,1.959032258064516,0.9543010752688172,0.8803763440860215,0.9327956989247312,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2020-11-01,17.50541727672035,18.59384164222874,11.12606149341142,18.61133333333333,81.52933333333334,0.8076666666666666,,71.11,2.3703333333333334,0.9472222222222222,0.9486111111111112,0.9486111111111112,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2020-12-01,14.112998522895126,17.019590643274853,12.225693430656936,19.31935483870968,74.79225806451613,0.8703225806451613,,113.99,3.677096774193549,0.9193548387096774,0.9206989247311828,0.9099462365591398,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2021-01-01,13.493515850144092,13.118945868945868,14.209738372093025,18.83806451612904,73.38612903225807,1.0696774193548386,,105.14,3.3916129032258064,0.9435483870967742,0.9247311827956988,0.9327956989247312,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2021-02-01,14.644918032786885,13.92780487804878,13.082026143790848,19.62071428571429,74.44678571428572,1.0442857142857145,,98.38,3.5135714285714283,0.9151785714285714,0.9107142857142856,0.9077380952380952,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2021-03-01,16.124881141045957,16.9851904090268,12.660028248587569,18.69483870967742,79.48903225806451,0.9319354838709678,,132.12,4.261935483870968,0.952956989247312,0.9516129032258064,0.8481182795698925,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2021-04-01,10.206607929515418,11.887554904831624,12.646041055718475,19.200333333333333,79.31633333333333,0.9443333333333334,,176.72,5.890666666666666,0.9486111111111112,0.9472222222222222,0.9458333333333332,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2021-05-01,8.312765957446809,10.2375533428165,10.133898305084744,19.156774193548387,78.49290322580646,1.1796774193548387,,53.85,1.7370967741935484,0.9448924731182796,0.9516129032258064,0.9475806451612904,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2021-06-01,8.479017857142857,12.363450292397662,9.027086383601755,18.355666666666664,79.12733333333334,1.1006666666666665,,196.89,6.563,0.95,0.9486111111111112,0.9333333333333332,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2021-07-01,5.877464788732395,9.043767705382436,11.381161473087818,18.631612903225808,75.01322580645162,1.6390322580645162,,57.61,1.8583870967741936,0.9489247311827956,0.9489247311827956,0.9543010752688172,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2021-08-01,10.16619718309859,14.291513437057992,12.61723163841808,19.18290322580645,73.33967741935484,1.2638709677419355,,71.11,2.293870967741936,0.9502688172043012,0.9516129032258064,0.9543010752688172,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2021-09-01,9.998973607038124,15.290602055800294,14.939619883040937,19.143,72.27333333333333,1.2813333333333332,,145.0,4.833333333333333,0.9458333333333332,0.95,0.9472222222222222,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2021-10-01,14.30520393811533,18.347175141242936,13.153682719546742,19.622903225806454,76.90709677419355,0.8551612903225807,,96.44,3.110967741935484,0.9516129032258064,0.9489247311827956,0.9556451612903226,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2021-11-01,17.698389458272327,16.734264705882353,13.60795847750865,19.259666666666664,77.90433333333334,0.9016666666666668,,86.48,2.8826666666666667,0.9444444444444444,0.8027777777777778,0.9486111111111112,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2021-12-01,17.901306240928882,14.613702623906706,12.42272047832586,19.739032258064515,76.7441935483871,1.0374193548387096,,65.48,2.112258064516129,0.922043010752688,0.8991935483870968,0.9260752688172044,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2022-01-01,16.950773558368496,13.811965811965813,14.472893258426968,19.448709677419355,71.82548387096774,1.1783870967741936,,57.49,1.854516129032258,0.9435483870967742,0.956989247311828,0.9556451612903226,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2022-02-01,21.288,18.2124394184168,16.097798742138366,19.290714285714284,75.20714285714287,0.8960714285714285,,131.69,4.703214285714286,0.9211309523809524,0.9464285714285714,0.9300595238095238,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2022-03-01,16.77542372881356,15.84434628975265,12.905390070921984,18.86483870967741,81.53903225806452,0.8858064516129033,,199.88,6.447741935483871,0.760752688172043,0.9475806451612904,0.9516129032258064,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2022-04-01,14.639296187683284,13.723865300146413,11.48389458272328,18.88,81.47,0.995,,260.12,8.670666666666667,0.9486111111111112,0.9486111111111112,0.9472222222222222,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2022-05-01,10.437802907915994,11.725282485875706,7.77683615819209,18.71741935483871,80.96806451612903,0.9874193548387096,,319.0,10.290322580645162,0.9516129032258064,0.9516129032258064,0.831989247311828,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2022-06-01,13.319648093841645,14.938,7.404239766081871,17.939666666666668,81.945,0.9073333333333332,,207.29,6.909666666666666,0.8333333333333334,0.95,0.9472222222222222,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2022-07-01,9.25399129172714,11.142528735632183,,18.19483870967742,79.52129032258064,1.1383870967741936,,228.31,7.36483870967742,0.935483870967742,0.3575268817204301,0.9260752688172044,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2022-08-01,10.285714285714286,12.414884393063584,,18.116774193548387,77.78548387096774,1.2158064516129032,,162.59,5.24483870967742,0.9301075268817204,,0.9502688172043012,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2022-09-01,16.013254786450663,,,18.666,78.09733333333334,1.0056666666666667,,135.09,4.503,0.7402777777777778,,0.9430555555555556,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2022-10-01,14.637429378531072,,,18.324193548387097,83.24870967741936,1.0612903225806452,,252.6,8.148387096774194,0.353494623655914,,0.9516129032258064,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2022-11-01,16.372093023255815,12.094729136163984,,17.981333333333332,87.00733333333332,0.9713333333333334,,179.19,5.973,0.9486111111111112,,0.9555555555555556,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2022-12-01,18.98682284040996,11.726365054602184,,18.003548387096775,82.19999999999999,0.9396774193548388,,70.75,2.282258064516129,0.8615591397849462,0.303763440860215,0.918010752688172,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2023-01-01,16.94943820224719,12.562553191489362,16.91565585331453,17.54,82.15516129032258,0.9661290322580643,,181.32,5.849032258064516,0.9475806451612904,0.952956989247312,0.956989247311828,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2023-02-01,22.01456310679612,14.824959216965745,14.21414944356121,18.75321428571429,78.37249999999999,0.9896428571428572,,54.03,1.9296428571428568,0.9122023809523808,0.9360119047619048,0.9196428571428572,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2023-03-01,19.81065918653577,15.037906647807636,13.61238670694864,18.51451612903226,84.31870967741936,0.8709677419354839,,165.16,5.32774193548387,0.9502688172043012,0.8897849462365591,0.9583333333333334,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2023-04-01,16.571428571428573,14.608479532163743,11.196148148148149,18.597666666666665,83.93033333333332,0.8996666666666666,,218.01,7.266999999999999,0.95,0.9375,0.9527777777777776,1.0,1.0,1.0,0.0,1.0
BARRIOS UNIDOS,2023-05-01,10.514124293785311,10.250991501416433,8.697185185185186,19.260322580645163,81.58612903225807,1.115483870967742,,220.91,7.126129032258064,0.9489247311827956,0.907258064516129,0.9516129032258064,1.0,1.0,1.0,0.0,1.0
