run_id,pollutant,beta_scenario,endpoint_group,endpoint,economic_method,n_rows,n_unique_cells,delta_mean,baseline_cases_total,avoided_cases_total,beta_value,valuation_value_used_usd_2015,economic_value_total_usd_2015,economic_value_total_cop_2015,avoided_cases_central,economic_usd_central,economic_cop_central,diferencia_casos_vs_central,razon_casos_vs_central,diferencia_usd_vs_central,razon_usd_vs_central
NO2_ASTHMA,NO2,Escenario beta central,Hospital Admissions,Asthma,UNIT_VALUE_ASTHMA_HA,254,254,1.4337929549698043,2676.9994719721,12.713526090919892,0.003324,11232.0,142798.32505321223,396041158.65233034,12.713526090919892,142798.32505321223,396041158.65233034,0.0,1.0,0.0,1.0
NO2_CLD,NO2,Escenario beta central,Hospital Admissions,Chronic Lung Disease,UNIT_VALUE_CLD_HA,254,254,1.4337929549698043,3573.0000742320003,9.454137916977857,0.00185,15375.0,145357.37047353454,403138491.9924149,9.454137916977857,145357.37047353454,403138491.9924149,0.0,1.0,0.0,1.0
O3_MAIN,O3,Escenario beta alto,Mortality,Respiratory mortality,VSL,254,254,1.1955636212189586,2119.999999998885,3.7182811528986517,0.00146284,8705114.0,32368061.320034195,89770552306.82243,2.204552731440561,19190882.84620147,53224570212.14053,1.5137284214580906,1.6866374298377282,13177178.473832726,1.6866374298377285
O3_MAIN,O3,Escenario beta bajo,Mortality,Respiratory mortality,VSL,254,254,1.1955636212189586,2119.999999998885,0.6897362221176342,0.00027116,8705114.0,6004232.443463326,16652318385.674494,2.204552731440561,19190882.84620147,53224570212.14053,-1.5148165093229269,0.3128690061620469,-13186650.402738143,0.3128690061620469
O3_MAIN,O3,Escenario beta central,Mortality,Respiratory mortality,VSL,254,254,1.1955636212189586,2119.999999998885,2.204552731440561,0.000867,8705114.0,19190882.84620147,53224570212.14053,2.204552731440561,19190882.84620147,53224570212.14053,0.0,1.0,0.0,1.0
PM25_MAIN,PM25,Escenario beta bajo,Mortality,All-cause mortality,VSL,254,254,1.4780427685188642,109.74459191191424,0.17720724019989936,0.001094,8705114.0,1542609.2275655067,4278318710.007003,1.299799056965902,11314898.96798067,31381080244.76663,-1.1225918167660025,0.13633433510372833,-9772289.740415163,0.13633433510372836
PM25_MAIN,PM25,Escenario beta central,Mortality,All-cause mortality,VSL,254,254,1.4780427685188642,109.74459191191424,1.299799056965902,0.008066,8705114.0,11314898.96798067,31381080244.76663,1.299799056965902,11314898.96798067,31381080244.76663,0.0,1.0,0.0,1.0
