fecha,origen,destino,estado,motivo
2026-04-28 22:42:23,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\02_figuras\04_benmap_base\02_componente_espacial\fig_5_15_localidades_top_valor_no2_asma_v2.pdf,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\03_resultados_figuras\capitulo_5_4_corrida_base\fig_5_15_localidades_top_valor_no2_asma_v2.pdf,COPIADO,
2026-04-28 22:42:23,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\02_figuras\04_benmap_base\02_componente_espacial\fig_5_15_localidades_top_valor_no2_asma_v3.pdf,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\03_resultados_figuras\capitulo_5_4_corrida_base\fig_5_15_localidades_top_valor_no2_asma_v3.pdf,COPIADO,
2026-04-28 22:42:23,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\02_figuras\04_benmap_base\02_componente_espacial\fig_5_15_localidades_top_valor_no2_enfermedad_pulmonar_cronica.pdf,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\03_resultados_figuras\capitulo_5_4_corrida_base\fig_5_15_localidades_top_valor_no2_enfermedad_pulmonar_cronica.pdf,COPIADO,
2026-04-28 22:42:23,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\02_figuras\04_benmap_base\02_componente_espacial\fig_5_15_localidades_top_valor_no2_enfermedad_pulmonar_cronica_v2.pdf,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\03_resultados_figuras\capitulo_5_4_corrida_base\fig_5_15_localidades_top_valor_no2_enfermedad_pulmonar_cronica_v2.pdf,COPIADO,
2026-04-28 22:42:23,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\02_figuras\04_benmap_base\02_componente_espacial\fig_5_15_localidades_top_valor_no2_enfermedad_pulmonar_cronica_v3.pdf,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\03_resultados_figuras\capitulo_5_4_corrida_base\fig_5_15_localidades_top_valor_no2_enfermedad_pulmonar_cronica_v3.pdf,COPIADO,
2026-04-28 22:42:23,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\02_figuras\04_benmap_base\02_componente_espacial\fig_5_15_localidades_top_valor_o3_respiratoria.pdf,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\03_resultados_figuras\capitulo_5_4_corrida_base\fig_5_15_localidades_top_valor_o3_respiratoria.pdf,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\02_figuras\04_benmap_base\02_componente_espacial\fig_5_15_localidades_top_valor_o3_respiratoria_v2.pdf,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\03_resultados_figuras\capitulo_5_4_corrida_base\fig_5_15_localidades_top_valor_o3_respiratoria_v2.pdf,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\02_figuras\04_benmap_base\02_componente_espacial\fig_5_15_localidades_top_valor_o3_respiratoria_v3.pdf,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\03_resultados_figuras\capitulo_5_4_corrida_base\fig_5_15_localidades_top_valor_o3_respiratoria_v3.pdf,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\02_figuras\04_benmap_base\02_componente_espacial\fig_5_15_localidades_top_valor_pm25_todas_las_causas.pdf,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\03_resultados_figuras\capitulo_5_4_corrida_base\fig_5_15_localidades_top_valor_pm25_todas_las_causas.pdf,COPIADO,
2026-04-28 22:42:24,D:\TRABAJO DE GRADO BEN-MAP\RESULTADOS_FINALES\02_figuras\04_benmap_base\02_componente_espacial\fig_5_15_localidades_top_valor_pm25_todas_las_causas_v2.pdf,D:\TRABAJO DE GRADO BEN-MAP\GITHUB\Analisis_sensibilidad\03_resultados_figuras\capitulo_5_4_corrida_base\fig_5_15_localidades_top_valor_pm25_todas_las_causas_v2.pdf,COPIADO,
