Endpoint Group,Endpoint,Race,Ethnicity,Gender,Start Age,End Age,Column,Row,Value,Type
Mortality,All-cause mortality,,,,65,99,6,15,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,8,15,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,15,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,15,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,15,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,15,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,15,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,15,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,8,16,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,16,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,16,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,16,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,16,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,16,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,8,17,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,17,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,17,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,17,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,17,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,17,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,8,18,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,18,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,18,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,18,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,18,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,18,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,19,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,19,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,19,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,19,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,20,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,20,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,20,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,20,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,21,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,21,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,21,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,21,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,22,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,22,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,22,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,22,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,22,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,23,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,23,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,23,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,23,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,23,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,23,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,24,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,24,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,24,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,24,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,24,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,24,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,25,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,25,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,25,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,25,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,25,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,26,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,26,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,26,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,26,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,26,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,27,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,27,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,27,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,27,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,27,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,28,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,28,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,28,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,28,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,28,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,15,28,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,29,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,29,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,29,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,29,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,29,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,15,29,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,16,29,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,30,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,30,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,30,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,30,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,30,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,15,30,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,16,30,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,31,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,31,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,31,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,31,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,15,31,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,16,31,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,17,31,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,32,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,32,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,32,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,32,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,32,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,15,32,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,16,32,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,17,32,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,33,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,33,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,33,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,33,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,33,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,33,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,15,33,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,16,33,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,17,33,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,18,33,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,9,34,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,34,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,34,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,34,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,34,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,34,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,15,34,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,16,34,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,17,34,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,18,34,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,10,35,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,35,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,35,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,35,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,35,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,15,35,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,16,35,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,17,35,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,36,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,36,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,36,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,36,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,15,36,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,16,36,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,17,36,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,11,37,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,37,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,37,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,37,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,15,37,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,16,37,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,17,37,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,12,38,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,38,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,38,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,15,38,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,16,38,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,17,38,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,39,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,39,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,15,39,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,16,39,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,17,39,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,13,40,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,40,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,15,40,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,16,40,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,17,40,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,14,41,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,15,41,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,16,41,6.44018355644251e-05,
Mortality,All-cause mortality,,,,65,99,17,41,6.44018355644251e-05,
Mortality,Respiratory mortality,,,,0,99,1,1,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,2,1,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,3,1,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,1,2,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,2,2,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,3,2,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,1,3,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,2,3,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,3,3,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,4,3,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,5,3,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,2,4,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,3,4,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,4,4,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,5,4,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,6,4,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,3,5,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,4,5,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,5,5,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,6,5,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,3,6,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,4,6,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,5,6,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,6,6,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,7,6,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,4,7,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,5,7,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,6,7,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,7,7,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,4,8,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,5,8,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,6,8,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,7,8,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,8,8,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,4,9,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,5,9,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,6,9,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,7,9,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,8,9,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,3,10,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,4,10,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,5,10,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,6,10,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,7,10,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,8,10,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,9,10,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,4,11,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,5,11,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,6,11,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,7,11,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,8,11,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,9,11,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,10,11,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,11,11,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,12,11,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,4,12,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,5,12,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,6,12,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,7,12,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,8,12,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,9,12,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,10,12,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,11,12,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,12,12,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,13,12,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,4,13,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,5,13,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,6,13,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,7,13,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,8,13,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,9,13,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,10,13,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,11,13,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,12,13,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,13,13,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,4,14,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,5,14,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,6,14,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,7,14,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,8,14,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,9,14,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,10,14,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,11,14,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,12,14,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,13,14,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,14,14,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,5,15,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,6,15,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,8,15,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,9,15,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,10,15,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,11,15,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,12,15,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,13,15,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,14,15,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,8,16,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,9,16,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,10,16,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,11,16,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,12,16,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,13,16,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,8,17,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,9,17,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,10,17,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,11,17,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,12,17,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,13,17,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,8,18,0.0001320424481591,
Mortality,Respiratory mortality,,,,0,99,9,18,0.0001320424481591,
