cell_id,year,endpoint_code,age_group,incidence_rate,count_basis_citywide_2026,population_basis_citywide_2026,incidence_source,incidence_method
214,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
215,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
216,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
217,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
218,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
219,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
251,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
252,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
253,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
254,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
255,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
256,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
257,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
258,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
259,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
294,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
295,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
296,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
297,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
298,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
299,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
300,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
301,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
302,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
303,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
304,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
337,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
338,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
339,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
340,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
341,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
342,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
343,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
344,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
345,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
346,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
347,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
348,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
349,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
350,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
351,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
352,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
353,2026,def_I,ALL,6.44018355644251e-05,1034,16055443,Bogota_panel_mortalidad_2020_2024,citywide_uniform_rate_provisional_robust
