run_id,pollutant,endpoint_group,endpoint,start_age,end_age,cell_id,Row,Column,concentration_baseline,concentration_control,delta_concentration,population_target,incidence_target,beta,beta_se,economic_method,valuation_parameter_name,valuation_value_fixed,climate_scenario,climate_multiplier,climate_note,concentration_baseline_clim,concentration_control_clim,delta_concentration_clim,rr,af_avoided,baseline_cases,avoided_cases,valuation_value_used_usd_2015,economic_value_usd_2015,economic_value_cop_2015
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,0,99,0,1,1,14.231315473731026,12.808183926357923,1.423131547373103,66007,0.0001667347,0.003324,,UNIT_VALUE_ASTHMA_HA,UNIT_VALUE_ASTHMA_HA_2015_USD,11232.0,Escenario climático favorable,0.97,Menor acumulación local,13.804376009519094,12.423938408567185,1.3804376009519093,1.004599118214502,0.004578063160831758,11.0056573429,0.05038459444226802,11232.0,565.9197647755544,1569538.8532214658
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,0,99,0,1,1,14.231315473731026,12.808183926357923,1.423131547373103,66007,0.0001667347,0.003324,,UNIT_VALUE_ASTHMA_HA,UNIT_VALUE_ASTHMA_HA_2015_USD,11232.0,Escenario climático central,1.0,Escenario de referencia,14.231315473731026,12.808183926357923,1.423131547373103,1.0047416956914652,0.0047193181210638535,11.0056573429,0.05193919813256743,11232.0,583.3810734249973,1617966.5704690902
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,0,99,0,1,1,14.231315473731026,12.808183926357923,1.423131547373103,66007,0.0001667347,0.003324,,UNIT_VALUE_ASTHMA_HA,UNIT_VALUE_ASTHMA_HA_2015_USD,11232.0,Escenario climático desfavorable,1.05,Mayor estancamiento local,14.942881247417578,13.44859312267582,1.4942881247417574,1.0049793697884275,0.004954698512344424,11.0056573429,0.054529714064239114,11232.0,612.4777483695337,1698664.161660516
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,0,99,41,1,2,14.436909339412171,12.993218405470955,1.443690933941216,53333,0.0001667347,0.003324,,UNIT_VALUE_ASTHMA_HA,UNIT_VALUE_ASTHMA_HA_2015_USD,11232.0,Escenario climático favorable,0.97,Menor acumulación local,14.003802059229805,12.603421853306827,1.4003802059229784,1.0046657145126638,0.0046440467165012045,8.8924617551,0.04129700781538469,11232.0,463.8479917824008,1286449.9358490638
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,0,99,41,1,2,14.436909339412171,12.993218405470955,1.443690933941216,53333,0.0001667347,0.003324,,UNIT_VALUE_ASTHMA_HA,UNIT_VALUE_ASTHMA_HA_2015_USD,11232.0,Escenario climático central,1.0,Escenario de referencia,14.436909339412171,12.993218405470955,1.443690933941216,1.0048103614833235,0.004787332682579248,8.8924617551,0.04257117278877625,11232.0,478.1594127635348,1326141.6601407703
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,0,99,41,1,2,14.436909339412171,12.993218405470955,1.443690933941216,53333,0.0001667347,0.003324,,UNIT_VALUE_ASTHMA_HA,UNIT_VALUE_ASTHMA_HA_2015_USD,11232.0,Escenario climático desfavorable,1.05,Mayor estancamiento local,15.158754806382781,13.642879325744504,1.515875480638277,1.005051486048303,0.005026096790488488,8.8924617551,0.04469437348684973,11232.0,502.0072030042962,1392281.8370282052
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,0,99,82,1,3,14.04676787451595,12.642091087064356,1.404676787451594,6180,0.0001667347,0.003324,,UNIT_VALUE_ASTHMA_HA,UNIT_VALUE_ASTHMA_HA_2015_USD,11232.0,Escenario climático favorable,0.97,Menor acumulación local,13.625364838280472,12.262828354452425,1.3625364838280465,1.004539343016839,0.00451883049518631,1.030420446,0.004656295334248278,11232.0,52.29950919427666,145049.0277846827
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,0,99,82,1,3,14.04676787451595,12.642091087064356,1.404676787451594,6180,0.0001667347,0.003324,,UNIT_VALUE_ASTHMA_HA,UNIT_VALUE_ASTHMA_HA_2015_USD,11232.0,Escenario climático central,1.0,Escenario de referencia,14.04676787451595,12.642091087064356,1.404676787451594,1.004680063087101,0.004658262126472801,1.030420446,0.004799968537945011,11232.0,53.913246618198365,149524.61556830988
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,0,99,82,1,3,14.04676787451595,12.642091087064356,1.404676787451594,6180,0.0001667347,0.003324,,UNIT_VALUE_ASTHMA_HA,UNIT_VALUE_ASTHMA_HA_2015_USD,11232.0,Escenario climático desfavorable,1.05,Mayor estancamiento local,14.749106268241748,13.274195641417574,1.4749106268241743,1.0049146403448026,0.004890604781234376,1.030420446,0.005039379159889257,11232.0,56.60230672387614,156982.5355371998
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,0,99,1,2,1,14.547154562062682,13.092439105856414,1.4547154562062676,35848,0.0001667347,0.003324,,UNIT_VALUE_ASTHMA_HA,UNIT_VALUE_ASTHMA_HA_2015_USD,11232.0,Escenario climático favorable,0.97,Menor acumulación local,14.1107399252008,12.699665932680722,1.4110739925200786,1.0047014271422043,0.004679427156361493,5.9771055256,0.027969429912930974,11232.0,314.1526367820407,871280.3474304151
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,0,99,1,2,1,14.547154562062682,13.092439105856414,1.4547154562062676,35848,0.0001667347,0.003324,,UNIT_VALUE_ASTHMA_HA,UNIT_VALUE_ASTHMA_HA_2015_USD,11232.0,Escenario climático central,1.0,Escenario de referencia,14.547154562062682,13.092439105856414,1.4547154562062676,1.0048471839481767,0.004823802092106755,5.9771055256,0.028832374139132123,11232.0,323.84522633073203,898162.0660624421
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,0,99,1,2,1,14.547154562062682,13.092439105856414,1.4547154562062676,35848,0.0001667347,0.003324,,UNIT_VALUE_ASTHMA_HA,UNIT_VALUE_ASTHMA_HA_2015_USD,11232.0,Escenario climático desfavorable,1.05,Mayor estancamiento local,15.274512290165816,13.747061061149235,1.527451229016581,1.0050901589499388,0.005064380448473238,5.9771055256,0.030270336362309996,11232.0,339.9964180214659,942956.2656332741
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,0,99,42,2,2,13.63419892837284,12.270779035535556,1.3634198928372854,88375,0.0001667347,0.003324,,UNIT_VALUE_ASTHMA_HA,UNIT_VALUE_ASTHMA_HA_2015_USD,11232.0,Escenario climático favorable,0.97,Menor acumulación local,13.225172960521654,11.902655664469489,1.3225172960521654,1.0044057242835358,0.004386399018861176,14.735179112500001,0.0646343752018137,11232.0,725.9733022667715,2013436.135705732
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,0,99,42,2,2,13.63419892837284,12.270779035535556,1.3634198928372854,88375,0.0001667347,0.003324,,UNIT_VALUE_ASTHMA_HA,UNIT_VALUE_ASTHMA_HA_2015_USD,11232.0,Escenario climático central,1.0,Escenario de referencia,13.63419892837284,12.270779035535556,1.3634198928372836,1.0045422928022774,0.004521753673114359,14.735179112500001,0.06662885027594487,11232.0,748.3752462994128,2075566.3593441802
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,0,99,42,2,2,13.63419892837284,12.270779035535556,1.3634198928372854,88375,0.0001667347,0.003324,,UNIT_VALUE_ASTHMA_HA,UNIT_VALUE_ASTHMA_HA_2015_USD,11232.0,Escenario climático desfavorable,1.05,Mayor estancamiento local,14.315908874791482,12.884317987312334,1.4315908874791479,1.004769948266204,0.004747303872329023,14.735179112500001,0.069952372860233,11232.0,785.705051966137,2179097.9622744434
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,0,99,83,2,3,14.249579367891377,12.824621431102235,1.4249579367891396,38621,0.0001667347,0.003324,,UNIT_VALUE_ASTHMA_HA,UNIT_VALUE_ASTHMA_HA_2015_USD,11232.0,Escenario climático favorable,0.97,Menor acumulación local,13.822091986854636,12.439882788169168,1.3822091986854677,1.0046050341060324,0.004583924975182119,6.4394608487000005,0.029518005411063374,11232.0,331.5462367770638,919520.279464612
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,0,99,83,2,3,14.249579367891377,12.824621431102235,1.4249579367891396,38621,0.0001667347,0.003324,,UNIT_VALUE_ASTHMA_HA,UNIT_VALUE_ASTHMA_HA_2015_USD,11232.0,Escenario climático central,1.0,Escenario de referencia,14.249579367891377,12.824621431102235,1.4249579367891414,1.0047477954148472,0.004725360370546383,6.4394608487000005,0.030428773102131962,11232.0,341.7759794831462,947891.7547779422
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,0,99,83,2,3,14.249579367891377,12.824621431102235,1.4249579367891396,38621,0.0001667347,0.003324,,UNIT_VALUE_ASTHMA_HA,UNIT_VALUE_ASTHMA_HA_2015_USD,11232.0,Escenario climático desfavorable,1.05,Mayor estancamiento local,14.962058336285946,13.465852502657347,1.4962058336285988,1.0049857760140006,0.004961041372919084,6.4394608487000005,0.03194643168969334,11232.0,358.8223207386356,995168.5890061541
NO2_ASTHMA,NO2,Hospital Admissions,Asthma,0,99,2,3,1,13.999116385567032,12.59920474701033,1.399911638556702,682,0.0001667347,0.003324,,UNIT_VALUE_ASTHMA_HA,UNIT_VALUE_ASTHMA_HA_2015_USD,11232.0,Escenario climático favorable,0.97,Menor acumulación local,13.57914289400002,12.22122860460002,1.3579142894,1.004523909217867,0.0045035356315105135,0.11371306540000001,0.0005121108417971853,11232.0,5.752028975065985,15952.849720317256
