"A̱o,c_001,c_002,c_003,c_004,c_005,c_006,c_007,c_008,c_009,c_010,c_011,c_012,c_013,c_014,c_015,c_016,c_017,c_018,c_019,c_020,c_021,c_022,c_023,c_024,c_025,c_026,c_027,c_028,c_029,c_030,c_031,c_032,c_033,c_034,c_035,c_036,c_037,c_038,c_039,c_040,c_041,c_042,c_043,c_044,c_045,c_046,c_047,c_048,c_049,c_050,c_051,c_052,c_053,c_054,c_055,c_056,c_057,c_058,c_059,c_060,c_061,c_062,c_063,c_064,c_065,c_066,c_067,c_068,c_069,c_070,c_071,c_072,c_073,c_074,c_075,c_076,c_077,c_078,c_079,c_080,c_081,c_082,c_083,c_084,c_085,c_086,c_087,c_088,c_089,c_090,c_091,c_092,c_093,c_094,c_095,c_096,c_097,c_098,c_099,c_100,c_101,c_102,c_103,c_104,c_105,def_I,def_J"
"2020,30,43,23,2,22,8,4,9,213,7276,61,99,526,431,157,62,174,47,30,321,28,28,79,0,0,0,0,515,71,103,174,32,18,122,177,245,232,142,18,44,604,32,155,94,38,98,432,2,3,534,3215,99,317,80,870,9,138,102,456,922,52,193,66,76,140,237,188,121,55,52,60,91,27,174,140,74,16,0,12,31,14,59,13,37,29,21,58,66,262,405,18,12,154,1,20,26,16,7,46,288,959,213,0,27,43,7630,1809"
"2021,51,54,17,2,20,27,2,4,233,11399,93,75,524,412,152,66,185,57,27,285,22,32,73,0,0,0,0,551,67,105,172,39,18,101,170,275,211,113,35,41,534,47,223,121,36,89,399,3,0,566,3800,127,375,78,937,3,172,174,616,817,80,224,97,109,176,282,204,130,43,49,54,109,36,125,171,78,8,0,6,19,6,49,22,35,16,14,56,67,261,539,18,9,183,0,29,18,16,4,44,352,1083,171,1,20,53,11809,1935"
"2022,59,58,19,2,12,23,3,9,206,1543,86,74,559,452,153,60,201,60,25,277,15,32,87,0,0,0,0,547,67,111,147,49,21,113,179,265,222,127,30,45,498,72,226,159,35,117,511,2,3,539,3230,99,398,68,892,7,226,156,412,976,72,232,105,93,168,284,185,157,48,46,84,137,50,125,187,80,16,0,8,22,13,53,16,43,13,19,45,70,271,604,26,5,184,1,20,31,15,4,47,361,1038,200,0,19,62,1934,1859"
"2023,67,76,19,1,15,16,3,5,222,190,71,65,552,480,164,77,199,78,34,300,28,33,97,0,0,0,0,547,63,108,177,32,23,91,164,279,226,139,21,42,449,33,190,157,41,106,518,2,6,485,2969,64,367,64,846,5,177,123,481,975,82,197,84,107,188,269,196,158,28,28,58,120,35,62,184,105,15,0,13,18,3,52,13,36,20,20,45,88,280,607,31,3,180,0,27,31,19,8,40,325,1002,215,0,11,55,614,1879"
"2024,71,72,21,2,10,21,2,11,220,123,81,69,546,472,168,74,223,84,36,353,28,33,124,0,0,0,0,584,63,129,200,50,11,59,205,330,193,133,16,44,480,29,209,195,37,96,626,2,5,547,2963,72,394,66,905,5,196,150,490,1157,63,229,112,120,215,278,204,148,32,31,56,131,50,86,159,129,14,0,10,29,7,54,17,46,12,27,69,65,286,698,18,16,248,0,33,16,16,8,42,317,1112,173,0,10,33,553,2093"
