Endpoint Group,Endpoint,Pollutant,Metric,Annual Statistic,Seasonal Metric,Race,Ethnicity,Gender,Start Age,End Age,Author,Apply Function To,Year of Publication,Qualifier
Mortality,All-cause mortality,PM25,Annual (D8HourMax),,,,,,65,99,Di et al.,Entire Area,2017,BenMAP core PM2.5 mortality function
Mortality,Respiratory mortality,PM25,PM25 Annual Mean,,,,,,0,99,Pope & Dockery,Entire Area,2006,REVIEW_PM25_DUPLICATE_OR_REDEFINE
Mortality,Respiratory mortality,O3,D8HourMax,,,,,,0,99,Katsouyanni et al.,Entire Area,2009,BenMAP core ozone respiratory mortality
Mortality,Circulatory mortality,NO2,NO2 Annual Mean,,,,,,0,99,Custom NO2 Function,Entire Area,2021,NO2 custom function under review
